"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","6","0","0","0","0","1","6",".264",".306",".364",".670","22","15","-0.215","1.48","0.000","-0.215","-1.5","6","0",""
"Asdrubal Cabrera  SS","5","0","0","0","0","2","5",".253",".318",".399",".717","15","11","-0.184","1.44","0.000","-0.184","-1.2","2","2",""
"Michael Brantley  LF","4","1","2","1","1","1","5",".322",".390",".519",".909","32","19","0.082","1.15","0.165","-0.083","0.9","1","1","HR"
"Jason Kipnis  2B","4","0","1","0","1","1","5",".261",".351",".360",".712","20","12","0.107","1.30","0.141","-0.035","0.6","2","4",""
"Lonnie Chisenhall  3B","3","0","0","0","1","3","4",".371",".424",".584","1.009","18","11","-0.114","1.60","0.021","-0.134","-0.9","0","1",""
"Mike Aviles  PH-3B","1","0","0","0","0","0","1",".260",".282",".355",".638","2","1","-0.112","4.43","0.000","-0.112","-0.4","0","1",""
"Nick Swisher  DH","5","1","1","1","0","1","5",".207",".303",".328",".631","16","13","0.186","1.62","0.342","-0.155","-0.0","","","HR"
"David Murphy  RF","4","1","0","0","1","1","5",".274",".335",".417",".752","19","12","-0.043","1.26","0.071","-0.114","-0.4","0","0",""
"Carlos Santana  1B","5","0","3","0","0","1","5",".190",".347",".346",".693","20","11","0.179","1.39","0.248","-0.068","1.2","10","0","2B"
"Yan Gomes  C","3","0","0","1","0","3","5",".255",".307",".401",".708","18","14","-0.088","1.52","0.024","-0.112","-0.6","11","1","HBP,SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Corey Kluber  P","","","","","","","","","","","","","","","","","","","1","0",""
"Marc Rzepczynski  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bryan Shaw  P","","","","","","","","","","","","","","","","","","","0","0",""
"John Axford  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Atchison  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cody Allen  P","","","","","","","","","","","","","","","","","","","0","1",""
