"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","5","0","1","0","1","2","6",".260",".319",".367",".687","24","15","0.052","1.80","0.212","-0.160","-0.1","5","0","2B"
"Jose Ramirez  SS","6","2","3","0","0","0","6",".254",".299",".328",".627","18","12","0.225","1.77","0.338","-0.114","0.7","1","3","2B"
"Michael Brantley  LF","5","0","1","0","1","0","6",".321",".380",".496",".876","18","9","-0.344","2.18","0.051","-0.395","-1.5","3","0","GDP,IW"
"Carlos Santana  1B","4","0","1","1","2","0","6",".235",".367",".442",".809","22","7","0.425","2.46","0.497","-0.072","1.4","7","0","SB"
"Jason Kipnis  2B","3","0","0","0","0","1","3",".242",".314",".332",".646","13","8","-0.049","0.64","0.000","-0.049","-0.3","1","1",""
"Mike Aviles  2B","2","0","0","1","0","0","3",".243",".266",".334",".601","6","5","-0.060","5.03","0.129","-0.189","-0.9","3","2","SF"
"Yan Gomes  C","6","0","0","0","0","2","6",".284",".318",".475",".793","19","14","-0.324","2.06","0.000","-0.324","-1.8","14","1",""
"David Murphy  DH","3","0","1","0","0","0","3",".263",".321",".381",".702","14","9","0.011","1.14","0.070","-0.059","0.3","","","2B"
"Jesus Aguilar  PH","1","0","0","0","0","0","1",".143",".242",".143",".385","3","2","-0.056","2.27","0.000","-0.056","-0.2","","",""
"Jason Giambi  PH","0","0","0","0","1","0","1",".143",".262",".286",".547","6","2","0.058","1.73","0.058","0.000","0.2","","",""
"Zach Walters  PR","0","0","0","0","0","0","0",".172",".235",".410",".645","","","0.000","0.00","0.000","0.000","0.0","","",""
"Lonnie Chisenhall  3B","5","0","1","0","0","1","5",".283",".343",".440",".783","20","13","-0.110","1.54","0.031","-0.141","-0.6","0","1",""
"J.B. Shuck  RF","3","0","0","0","0","0","3",".140",".165",".210",".375","11","6","-0.160","1.71","0.000","-0.160","-1.0","4","0",""
"Tyler Holt  PH-RF","2","0","0","0","0","0","2",".276",".323",".293",".616","10","5","-0.093","1.76","0.000","-0.093","-0.3","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Danny Salazar  P","","","","","","","","","","","","","","","","","","","0","0",""
"Nick Hagadone  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Atchison  P","","","","","","","","","","","","","","","","","","","0","0",""
"Marc Rzepczynski  P","","","","","","","","","","","","","","","","","","","0","0",""
"Bryan Shaw  P","","","","","","","","","","","","","","","","","","","0","0",""
"C.C. Lee  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kyle Crockett  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cody Allen  P","","","","","","","","","","","","","","","","","","","0","0",""
