"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Austin Jackson  CF","5","2","2","0","0","0","5",".268",".329",".400",".729","19","13","0.015","1.81","0.168","-0.153","0.8","1","0",""
"Ian Kinsler  2B","4","0","2","0","1","0","5",".295",".328",".452",".780","26","15","0.081","1.50","0.146","-0.065","0.5","1","5",""
"Miguel Cabrera  3B-1B","4","1","2","1","1","1","5",".313",".369",".531",".900","18","8","0.288","1.91","0.350","-0.062","1.4","2","2",""
"Victor Martinez  1B","3","0","1","0","1","0","4",".322",".385",".579",".964","13","5","-0.170","2.12","0.069","-0.239","-0.7","11","0","IW"
"Don Kelly  PR-3B","1","1","0","0","0","0","1",".245",".319",".294",".613","1","1","-0.074","2.71","0.000","-0.074","-0.2","0","1",""
"J.D. Martinez  LF","4","0","1","0","0","1","4",".327",".363",".606",".969","11","7","0.017","2.41","0.142","-0.125","-0.5","2","0",""
"Torii Hunter  RF","3","0","1","2","1","1","4",".275",".300",".469",".768","14","6","0.268","2.29","0.415","-0.147","1.1","1","0","CS,GDP"
"Alex Avila  C","4","0","0","0","0","3","4",".225",".338",".375",".713","22","13","-0.174","1.42","0.000","-0.174","-1.5","4","1",""
"Eugenio Suarez  SS","3","0","1","0","1","1","4",".252",".338",".391",".730","18","9","0.036","1.00","0.059","-0.023","0.2","1","3","IW"
"Rick Porcello  P","2","0","0","0","0","0","3",".000",".000",".000",".000","11","7","-0.088","1.51","0.000","-0.088","-0.6","1","1","SH"
"Rajai Davis  PH","1","0","0","0","0","1","1",".295",".339",".432",".771","6","3","-0.064","2.63","0.000","-0.064","-0.7","","",""
"Phil Coke  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Al Alburquerque  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ian Krol  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Corey Knebel  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
