"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rajai Davis  LF","4","0","0","0","0","1","4",".273",".324",".395",".720","17","12","-0.171","1.21","0.012","-0.183","-1.8","0","0","SB,GDP"
"Ian Kinsler  2B","4","0","0","0","0","0","4",".293",".322",".458",".780","9","8","-0.088","0.85","0.000","-0.088","-0.8","1","3",""
"Miguel Cabrera  1B","3","1","2","0","0","0","3",".326",".377",".564",".941","10","5","0.084","0.71","0.094","-0.010","0.6","3","1","2B"
"Don Kelly  PR-1B","1","0","0","0","0","0","1",".261",".346",".319",".665","6","5","-0.009","0.37","0.000","-0.009","-0.1","4","0",""
"Victor Martinez  DH","3","0","1","1","1","0","4",".329",".386",".581",".967","9","4","0.089","0.98","0.119","-0.030","0.6","","",""
"Torii Hunter  RF","4","0","0","0","0","1","4",".268",".292",".450",".742","13","9","-0.190","1.56","0.000","-0.190","-1.5","1","0","GDP"
"Nick Castellanos  3B","4","1","1","0","0","0","4",".270",".313",".405",".719","17","11","0.009","0.86","0.057","-0.048","0.0","1","2",""
"Austin Jackson  CF","4","1","1","0","0","0","4",".252",".316",".381",".697","17","11","0.125","1.33","0.159","-0.034","0.9","6","0","SB"
"Alex Avila  C","3","0","0","0","0","3","3",".213",".335",".362",".697","15","10","-0.148","1.63","0.000","-0.148","-1.1","10","0",""
"Eugenio Suarez  SS","3","0","2","2","0","0","3",".429",".500",".857","1.357","12","6","0.307","1.70","0.317","-0.010","2.0","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Anibal Sanchez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ian Krol  P","","","","","","","","","","","","","","","","","","","0","0",""
"Evan Reed  P","","","","","","","","","","","","","","","","","","","0","0",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joba Chamberlain  P","","","","","","","","","","","","","","","","","","","0","0",""
