"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rajai Davis  LF","4","1","0","0","0","1","4",".297",".335",".422",".757","16","11","-0.083","1.55","0.061","-0.144","-0.4","5","0",""
"Ian Kinsler  2B","4","0","0","0","0","0","4",".285",".317",".430",".747","12","8","-0.117","1.32","0.000","-0.117","-0.8","3","1",""
"Miguel Cabrera  1B","1","0","0","1","2","1","4",".310",".370",".523",".893","14","5","0.062","1.18","0.095","-0.033","0.3","3","2","SF"
"Victor Martinez  DH","4","0","1","0","0","1","4",".324",".382",".565",".947","20","12","0.124","1.25","0.169","-0.045","0.4","","",""
"J.D. Martinez  RF","4","0","0","0","0","2","4",".307",".348",".574",".922","14","9","-0.220","1.72","0.000","-0.220","-1.2","1","0",""
"Nick Castellanos  3B","4","0","0","0","0","2","4",".256",".305",".395",".700","20","14","-0.193","1.85","0.000","-0.193","-1.1","0","0",""
"Bryan Holaday  C","4","0","0","0","0","2","4",".255",".299",".286",".585","11","10","-0.060","0.60","0.000","-0.060","-0.6","5","0",""
"Andrew Romine  SS","4","0","2","0","0","0","4",".219",".271",".278",".549","18","11","0.015","0.55","0.042","-0.027","-0.0","1","2","2B"
"Ezequiel Carrera  CF","4","0","2","0","0","0","4",".375",".444",".500",".944","12","8","0.060","0.81","0.091","-0.031","0.3","5","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Verlander  P","","","","","","","","","","","","","","","","","","","1","0",""
"Blaine Hardy  P","","","","","","","","","","","","","","","","","","","0","0",""
"Phil Coke  P","","","","","","","","","","","","","","","","","","","0","0",""
