"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","1","1","1","0","1","5",".283",".315",".421",".736","15","13","0.068","0.80","0.127","-0.059","0.3","2","5",""
"Torii Hunter  RF","5","1","1","0","0","1","5",".269",".307",".442",".749","20","14","-0.029","0.44","0.012","-0.041","-0.3","1","0",""
"Miguel Cabrera  1B","2","2","1","0","2","0","4",".309",".376",".509",".885","21","10","0.071","0.71","0.071","0.000","0.9","9","1",""
"Don Kelly  1B","0","0","0","0","0","0","0",".244",".319",".283",".603","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Victor Martinez  DH","3","1","2","5","1","0","4",".325",".392",".553",".945","17","10","0.244","1.21","0.277","-0.033","4.3","","","HR,2B"
"J.D. Martinez  LF","4","0","1","0","0","1","4",".305",".347",".563",".910","12","9","-0.028","1.01","0.029","-0.057","-0.3","2","0",""
"Nick Castellanos  3B","4","0","0","0","0","0","4",".259",".306",".414",".720","12","9","-0.116","1.16","0.000","-0.116","-1.4","1","2",""
"Alex Avila  C","4","0","0","0","0","2","4",".220",".327",".377",".704","16","9","-0.059","0.60","0.000","-0.059","-0.7","4","0",""
"Andrew Romine  SS","4","0","0","0","0","4","4",".216",".269",".273",".542","20","13","-0.041","0.42","0.000","-0.041","-0.5","2","2",""
"Rajai Davis  CF","4","1","1","0","0","0","4",".288",".327",".415",".742","14","8","-0.007","0.44","0.025","-0.032","-0.3","3","0","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Rick Porcello  P","","","","","","","","","","","","","","","","","","","2","2",""
