"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dexter Fowler  CF","3","0","1","0","1","0","4",".285",".399",".404",".802","14","7","0.051","1.27","0.094","-0.043","0.3","1","0",""
"Jose Altuve  2B","4","0","0","0","0","0","4",".315",".355",".423",".778","13","8","-0.231","1.76","0.000","-0.231","-1.7","2","5","GDP"
"Jon Singleton  1B","4","1","3","0","0","0","4",".265",".286",".500",".786","18","13","0.100","1.03","0.159","-0.059","0.6","7","0","2B,CS"
"Jason Castro  C","4","0","0","0","0","2","4",".223",".296",".366",".663","18","12","-0.059","1.36","0.020","-0.079","-0.5","5","1",""
"Matt Dominguez  3B","4","0","1","1","0","0","4",".250",".303",".404",".707","11","8","0.035","1.22","0.097","-0.062","-0.1","0","1",""
"Robbie Grossman  LF","3","0","0","0","1","1","4",".194",".299",".323",".622","12","7","-0.066","1.00","0.041","-0.107","-0.4","3","0","GDP"
"Alex Presley  RF","3","0","2","0","0","1","3",".243",".287",".336",".622","9","7","0.105","1.33","0.124","-0.019","0.8","2","0",""
"Jonathan Villar  SS","3","0","0","0","0","0","3",".197",".259",".348",".607","10","6","-0.138","1.82","0.000","-0.138","-0.9","4","1","CS"
"Brad Peacock  P","2","0","0","0","0","2","2",".000",".000",".000",".000","7","6","-0.105","1.70","0.000","-0.105","-0.9","0","1",""
"Jesus Guzman  PH","1","0","0","0","0","1","1",".200",".288",".286",".574","6","3","-0.047","2.05","0.000","-0.047","-0.3","","",""
"Josh Fields  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kyle Farnsworth  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
