"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Robbie Grossman  LF","3","1","1","0","1","2","4",".214",".333",".327",".660","16","9","0.010","0.93","0.058","-0.048","0.3","1","0",""
"Jose Altuve  2B","4","0","1","1","0","0","4",".333",".371",".438",".809","17","10","0.085","1.41","0.216","-0.131","0.8","2","6","GDP"
"Chris Carter  DH","4","0","0","0","0","3","4",".227",".297",".504",".800","18","11","-0.117","1.15","0.000","-0.117","-0.8","","",""
"Dexter Fowler  CF","3","0","0","0","1","2","4",".273",".381",".407",".788","21","12","-0.047","1.06","0.036","-0.083","-0.1","1","0",""
"Jason Castro  C","4","0","0","0","0","2","4",".229",".300",".376",".676","17","13","-0.120","1.23","0.000","-0.120","-0.8","6","0",""
"Jesus Guzman  1B","3","0","0","0","0","0","3",".196",".270",".264",".533","10","7","-0.067","0.91","0.000","-0.067","-0.5","9","0",""
"Marwin Gonzalez  SS","2","0","0","0","1","0","3",".261",".308",".380",".688","10","4","-0.027","0.86","0.021","-0.048","-0.3","1","2",""
"Jake Marisnick  RF","3","1","1","0","0","0","3",".240",".268",".289",".557","13","8","-0.043","1.12","0.028","-0.071","-0.2","1","1",""
"Gregorio Petit  3B","3","0","0","0","0","1","3",".293",".310",".463",".773","17","11","-0.099","1.34","0.000","-0.099","-0.7","3","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Collin McHugh  P","","","","","","","","","","","","","","","","","","","1","2",""
"Kevin Chapman  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jose Veras  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jake Buchanan  P","","","","","","","","","","","","","","","","","","","0","1",""
