"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","5","0","1","0","0","1","5",".320",".362",".436",".798","15","11","-0.105","0.85","0.036","-0.141","-1.3","2","2","GDP"
"George Springer  RF","4","0","1","0","1","0","5",".268",".350",".493",".843","19","11","-0.025","0.97","0.037","-0.063","-0.3","1","0",""
"Dexter Fowler  DH","4","1","1","0","1","0","5",".265",".381",".370",".752","17","8","-0.104","1.03","0.032","-0.136","-0.9","","","GDP"
"Jason Castro  C","4","1","2","0","1","2","5",".235",".309",".394",".703","25","14","0.124","1.02","0.171","-0.046","1.3","11","0","2B"
"Matt Dominguez  3B","5","0","1","1","0","1","5",".247",".298",".405",".703","16","13","0.117","1.08","0.170","-0.053","0.4","0","2",""
"Marc Krauss  1B","2","0","0","0","0","1","3",".178",".279",".318",".596","11","8","-0.081","0.89","0.013","-0.095","-0.8","5","1","HBP"
"Jesus Guzman  PH-1B","0","1","0","0","1","0","1",".204",".275",".301",".576","5","1","0.011","1.57","0.011","0.000","0.2","3","0",""
"Robbie Grossman  LF","4","0","2","0","0","0","4",".140",".234",".298",".533","16","10","-0.019","0.85","0.051","-0.070","0.1","2","0","SB"
"Alex Presley  CF","3","0","3","1","0","0","4",".250",".273",".356",".629","15","9","0.126","1.20","0.126","0.000","1.1","2","0","SF"
"Marwin Gonzalez  SS","4","0","1","0","0","0","4",".300",".344",".400",".744","14","10","-0.114","1.64","0.055","-0.169","-1.2","0","2","GDP"
"","","","","","","","","","","","","","","","","","","","","",""
"Collin McHugh  P","","","","","","","","","","","","","","","","","","","1","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Chad Qualls  P","","","","","","","","","","","","","","","","","","","0","1",""
