"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Robbie Grossman  LF","4","0","1","0","0","0","4",".216",".336",".332",".668","9","7","-0.004","0.63","0.037","-0.042","-0.1","1","0",""
"Jose Altuve  2B","4","0","0","0","0","1","4",".336",".373",".441",".814","8","8","-0.074","0.79","0.000","-0.074","-0.8","1","7",""
"Chris Carter  DH","4","0","1","0","0","2","4",".230",".297",".511",".809","20","12","-0.005","0.69","0.041","-0.046","-0.1","","",""
"Dexter Fowler  CF","4","0","1","0","0","1","4",".279",".386",".416",".802","14","11","-0.027","0.85","0.036","-0.063","-0.3","1","0","2B"
"Marc Krauss  RF","3","0","1","0","0","1","3",".202",".283",".345",".629","10","7","0.016","1.24","0.087","-0.071","0.1","1","0","2B"
"Jon Singleton  1B","3","0","0","0","0","1","3",".186",".290",".364",".654","13","10","-0.110","1.12","0.000","-0.110","-1.1","15","0",""
"Carlos Corporan  C","3","0","0","0","0","1","3",".234",".285",".372",".657","13","9","-0.091","1.11","0.000","-0.091","-0.9","5","0",""
"Matt Dominguez  3B","3","0","0","0","0","1","3",".228",".268",".351",".619","9","6","-0.042","0.56","0.000","-0.042","-0.5","0","1",""
"Marwin Gonzalez  SS","3","0","0","0","0","0","3",".263",".309",".373",".681","11","9","-0.042","0.57","0.000","-0.042","-0.5","0","4",""
"","","","","","","","","","","","","","","","","","","","","",""
"Dallas Keuchel  P","","","","","","","","","","","","","","","","","","","0","2",""
