"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Lorenzo Cain  CF","3","0","0","0","1","2","4",".297",".334",".413",".747","20","10","-0.050","0.59","0.006","-0.056","-0.4","5","0",""
"Omar Infante  2B","4","0","0","0","0","0","4",".279",".317",".389",".706","11","8","-0.050","0.47","0.000","-0.050","-1.3","1","2","GDP"
"Eric Hosmer  1B","3","0","1","0","0","2","4",".272",".319",".385",".705","21","14","0.007","0.26","0.019","-0.012","0.2","7","1","HBP"
"Danny Valencia  3B","4","0","1","0","0","2","4",".291",".333",".398",".731","13","10","-0.011","0.50","0.020","-0.031","-0.5","0","3",""
"Alex Gordon  LF","3","0","0","0","1","1","4",".269",".350",".421",".771","17","10","-0.051","0.60","0.005","-0.057","-0.5","1","0",""
"Billy Butler  DH","4","0","0","0","0","1","4",".269",".320",".348",".668","11","9","-0.043","0.42","0.000","-0.043","-0.9","","",""
"Alcides Escobar  SS","3","0","2","0","0","0","3",".281",".317",".383",".700","10","8","0.041","0.39","0.046","-0.005","0.6","2","2","2B"
"Brett Hayes  C","3","0","0","0","0","1","3",".111",".130",".200",".330","7","7","-0.037","0.63","0.000","-0.037","-0.8","5","0",""
"Nori Aoki  RF","3","0","0","0","0","0","3",".255",".324",".316",".639","15","9","-0.045","0.55","0.000","-0.045","-0.7","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Yordano Ventura  P","","","","","","","","","","","","","","","","","","","1","1",""
"Francisley Bueno  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Downs  P","","","","","","","","","","","","","","","","","","","0","0",""
