"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Christian Colon  3B","3","0","1","0","1","0","4",".379",".419",".586","1.006","14","7","0.010","0.84","0.070","-0.059","0.1","0","2","GDP"
"Omar Infante  2B","4","0","0","0","0","1","4",".255",".294",".358",".652","15","11","-0.111","1.14","0.000","-0.111","-1.2","1","3",""
"Billy Butler  1B","3","0","0","0","1","0","4",".280",".330",".385",".715","15","8","-0.044","0.86","0.035","-0.079","-0.5","8","0","GDP"
"Josh Willingham  RF","4","1","1","0","0","0","4",".225",".350",".423",".772","11","7","-0.040","0.86","0.062","-0.102","-0.5","3","0","2B,GDP"
"Alex Gordon  LF","2","1","1","1","1","0","3",".284",".360",".450",".810","9","3","0.134","1.02","0.146","-0.012","1.2","1","0","HR"
"Erik Kratz  C","2","0","0","1","0","0","3",".229",".250",".417",".667","17","10","-0.077","1.32","0.026","-0.103","-0.9","6","0","SF,GDP"
"Lorenzo Cain  CF","3","0","0","0","0","1","3",".293",".331",".402",".733","12","8","-0.032","0.42","0.000","-0.032","-0.4","4","0",""
"Alcides Escobar  SS","3","0","2","0","0","0","3",".280",".317",".371",".688","9","6","0.029","0.75","0.053","-0.024","0.3","1","3",""
"Danny Duffy  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","6","-0.039","0.73","0.000","-0.039","-0.4","0","0",""
"Nori Aoki  PH","1","0","0","0","0","0","1",".266",".336",".338",".673","7","5","-0.039","1.67","0.000","-0.039","-0.4","","",""
"Jason Frasor  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
