"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Omar Infante  2B","6","0","1","1","0","1","6",".279",".354",".349",".703","24","15","-0.126","1.45","0.080","-0.206","-0.5","0","2",""
"Eric Hosmer  1B","5","0","2","0","1","1","6",".286",".364",".367",".731","21","12","0.030","1.54","0.116","-0.086","0.5","10","3",""
"Salvador Perez  C","6","0","1","2","0","0","6",".304",".407",".435",".842","12","10","0.033","1.85","0.282","-0.248","-0.7","11","1","2·GDP"
"Billy Butler  DH","5","0","1","0","0","2","5",".149",".222",".149",".371","18","14","-0.155","1.66","0.030","-0.184","-1.1","","",""
"Alex Gordon  LF","4","1","1","0","1","1","5",".250",".302",".396",".698","27","14","-0.011","1.36","0.081","-0.092","-0.1","2","0",""
"Danny Valencia  3B","3","1","2","1","0","0","3",".273",".273",".545",".818","9","6","0.145","0.94","0.161","-0.016","1.3","1","2","HR"
"Nori Aoki  PH-RF","1","0","0","0","1","1","2",".244",".320",".378",".698","10","4","-0.143","2.73","0.049","-0.191","-0.6","0","0","CS"
"Justin Maxwell  RF","2","0","0","0","0","1","3",".000",".143",".000",".143","14","10","0.034","1.50","0.081","-0.046","0.3","0","0","HBP"
"Mike Moustakas  PH-3B","2","1","1","1","0","0","2",".119",".213",".238",".451","9","5","0.322","1.61","0.346","-0.024","0.9","0","0","HR"
"Lorenzo Cain  CF","4","1","1","1","0","0","4",".333",".364",".381",".745","18","13","-0.014","1.77","0.052","-0.066","-0.0","3","0",""
"Jarrod Dyson  CF","1","1","1","0","0","0","1",".200",".200",".200",".400","6","3","0.045","0.78","0.045","0.000","0.6","1","0","SB"
"Alcides Escobar  SS","4","1","2","0","0","1","5",".250",".267",".295",".562","25","15","0.050","1.77","0.165","-0.115","0.4","2","4","SB,SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Guthrie  P","","","","","","","","","","","","","","","","","","","1","2",""
"Aaron Crow  P","","","","","","","","","","","","","","","","","","","1","0",""
"Kelvin Herrera  P","","","","","","","","","","","","","","","","","","","1","0",""
"Danny Duffy  P","","","","","","","","","","","","","","","","","","","0","1",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","0","0",""
