"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Nori Aoki  RF","5","1","1","0","0","0","5",".276",".336",".353",".689","16","12","-0.105","1.49","0.055","-0.160","-1.6","0","0","GDP"
"Wade Davis  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Greg Holland  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Kelvin Herrera  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Justin Maxwell  PH","1","0","0","0","0","0","1",".143",".226",".179",".404","5","2","-0.246","4.81","0.000","-0.246","-0.7","","",""
"Louis Coleman  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Tim Collins  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Omar Infante  2B","6","0","0","0","0","0","6",".267",".323",".388",".711","22","15","-0.135","1.25","0.003","-0.138","-1.0","0","2",""
"Eric Hosmer  1B","6","1","3","3","0","0","6",".296",".338",".416",".754","20","16","0.304","1.04","0.374","-0.070","2.0","14","1","HR"
"Salvador Perez  C","6","2","3","0","0","0","6",".245",".308",".409",".717","15","9","0.135","0.84","0.201","-0.066","0.7","11","3","2·2B,GDP"
"Alex Gordon  LF","6","0","0","0","0","2","6",".244",".295",".370",".664","31","20","-0.195","1.50","0.000","-0.195","-1.3","3","0",""
"Danny Valencia  3B","4","0","1","1","0","1","4",".231",".231",".346",".577","17","10","0.013","0.96","0.066","-0.053","-0.2","0","0",""
"Mike Moustakas  3B","2","0","1","1","0","0","2",".158",".229",".337",".565","9","5","0.340","2.59","0.377","-0.037","0.9","0","1",""
"Alcides Escobar  SS","5","0","2","0","1","0","6",".274",".330",".377",".708","20","13","0.033","0.85","0.090","-0.057","0.4","1","2","2·SB"
"Lorenzo Cain  CF-RF","5","0","4","0","0","0","5",".383",".408",".447",".855","13","10","0.191","1.24","0.242","-0.051","1.0","1","0","2B"
"Yordano Ventura  P","2","1","1","0","0","1","3",".500",".500",".500","1.000","10","7","-0.020","1.26","0.049","-0.068","-0.0","1","2","SH"
"Aaron Crow  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Billy Butler  PH","0","0","0","0","1","0","1",".241",".302",".313",".614","5","1","0.005","1.16","0.005","0.000","0.1","","",""
"Jarrod Dyson  CF","0","0","0","0","0","0","1",".289",".304",".333",".638","1","1","0.009","2.77","0.009","0.000","-0.1","3","0","SH"
