"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Kole Calhoun  RF","5","1","1","0","1","0","6",".285",".341",".484",".825","21","13","-0.008","1.53","0.112","-0.120","-0.5","5","0",""
"Mike Trout  CF","5","0","2","0","0","2","6",".300",".389",".580",".969","29","19","0.150","1.94","0.292","-0.142","0.9","5","0","HBP"
"Albert Pujols  1B","6","0","2","1","0","0","6",".274",".324",".471",".795","17","13","-0.157","1.86","0.149","-0.306","-1.4","8","0","2B,2·GDP"
"Josh Hamilton  LF","6","0","0","0","0","3","6",".284",".354",".427",".781","21","15","-0.203","1.28","0.000","-0.203","-1.6","1","0",""
"Erick Aybar  SS","6","0","2","0","0","1","6",".277",".312",".394",".706","18","14","-0.130","1.34","0.049","-0.180","-0.9","1","1","CS"
"Howie Kendrick  2B","5","0","0","0","1","2","6",".288",".346",".386",".733","25","14","-0.206","1.49","0.013","-0.219","-1.3","2","3",""
"Efren Navarro  DH","5","0","0","0","0","2","5",".284",".348",".420",".768","23","15","-0.167","1.32","0.000","-0.167","-0.9","","",""
"David Freese  3B","5","0","4","0","0","1","5",".249",".323",".349",".673","19","12","0.088","1.31","0.146","-0.058","0.8","1","1",""
"J.B. Shuck  PR","0","0","0","0","0","0","0",".173",".193",".259",".452","","","0.000","0.00","0.000","0.000","0.0","","",""
"John McDonald  3B","0","0","0","0","0","0","0",".164",".257",".180",".437","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Iannetta  C","5","0","1","0","0","1","5",".263",".372",".407",".780","15","11","-0.130","1.87","0.062","-0.192","-0.3","16","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Tyler Skaggs  P","","","","","","","","","","","","","","","","","","","0","0",""
"Mike Morin  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","1",""
"Cory Rasmus  P","","","","","","","","","","","","","","","","","","","0","0",""
"Hector Santiago  P","","","","","","","","","","","","","","","","","","","0","0",""
"Huston Street  P","","","","","","","","","","","","","","","","","","","0","0",""
