"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Kole Calhoun  RF","4","1","1","0","1","3","5",".228",".297",".406",".703","23","15","-0.056","0.58","0.016","-0.072","-0.1","3","0",""
"Erick Aybar  SS","5","1","2","1","0","1","5",".276",".308",".430",".738","20","15","0.015","0.50","0.064","-0.049","0.7","1","3","2·2B"
"Albert Pujols  1B","4","1","1","0","1","0","5",".253",".313",".498",".811","31","17","0.003","0.59","0.031","-0.028","-0.5","8","0",""
"Josh Hamilton  CF-LF","4","0","0","0","0","1","4",".382",".488",".706","1.194","11","8","-0.085","1.05","0.000","-0.085","-1.0","2","0",""
"Howie Kendrick  2B","4","0","1","1","0","1","4",".288",".356",".397",".753","12","9","0.064","1.03","0.113","-0.050","0.4","2","2",""
"David Freese  3B","3","1","2","1","1","1","4",".221",".294",".294",".588","19","12","0.131","0.67","0.142","-0.011","1.4","0","1","2B"
"Collin Cowgill  PR-CF","0","0","0","0","0","0","0",".289",".377",".422",".799","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Raul Ibanez  LF","4","0","0","0","0","0","4",".140",".248",".259",".507","9","6","-0.094","0.93","0.000","-0.094","-1.2","1","0",""
"John McDonald  3B","0","0","0","0","0","0","0",".258",".343",".290",".633","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"C.J. Cron  DH","4","0","2","1","0","0","4",".305",".329",".524",".854","14","10","0.127","0.76","0.147","-0.020","0.9","","",""
"Hank Conger  C","4","0","0","0","0","3","4",".241",".323",".422",".744","16","11","-0.049","0.47","0.000","-0.049","-0.8","9","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Garrett Richards  P","","","","","","","","","","","","","","","","","","","0","2",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
