"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Kole Calhoun  RF","4","1","1","1","1","0","5",".283",".335",".470",".805","20","13","0.091","0.69","0.114","-0.023","1.4","2","0",""
"Mike Trout  CF","3","1","0","0","0","1","5",".285",".373",".548",".922","17","9","0.031","0.56","0.053","-0.022","0.4","4","0","2·HBP"
"Albert Pujols  DH","5","0","0","0","0","4","5",".276",".329",".473",".802","20","13","-0.074","0.65","0.000","-0.074","-1.3","","",""
"Howie Kendrick  2B","4","1","1","0","0","0","4",".290",".346",".393",".740","16","10","-0.054","1.02","0.040","-0.094","-1.3","2","3","GDP"
"David Freese  3B","3","0","1","2","1","0","4",".260",".323",".369",".692","21","12","0.122","1.04","0.169","-0.047","1.3","0","1",""
"Tony Campana  PR","0","1","0","0","0","0","0",".161",".175",".210",".384","","","0.014","0.51","0.014","0.000","0.5","","",""
"C.J. Cron  1B","0","0","0","0","0","0","0",".276",".306",".481",".787","","","0.000","0.00","0.000","0.000","0.0","2","0",""
"Erick Aybar  SS","3","2","1","2","1","0","4",".285",".326",".389",".715","12","6","0.180","0.60","0.201","-0.021","1.8","1","1","HR"
"Efren Navarro  1B","3","0","0","0","0","0","3",".258",".315",".364",".678","16","11","-0.032","0.42","0.000","-0.032","-0.5","5","0",""
"Gordon Beckham  PH","1","0","0","0","0","1","1",".224",".272",".342",".614","5","3","-0.022","0.43","0.000","-0.022","-0.8","","",""
"Chris Iannetta  C","0","0","0","0","0","0","0",".258",".375",".412",".787","","","0.000","0.00","0.000","0.000","0.0","2","0",""
"Hank Conger  C","3","0","1","0","0","0","3",".222",".287",".319",".606","15","9","0.004","0.36","0.021","-0.017","-0.2","6","0","2B"
"Grant Green  PH","1","0","1","2","0","0","1",".314",".322",".407",".729","3","1","0.047","0.55","0.047","0.000","1.6","","",""
"John McDonald  3B","0","0","0","0","0","0","0",".153",".244",".167",".411","","","0.000","0.00","0.000","0.000","0.0","1","2",""
"Collin Cowgill  LF","4","1","1","0","0","1","4",".262",".341",".378",".719","13","9","-0.022","0.42","0.016","-0.039","-0.2","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Cory Rasmus  P","","","","","","","","","","","","","","","","","","","0","0",""
"Vinnie Pestano  P","","","","","","","","","","","","","","","","","","","0","0",""
"Yoslan Herrera  P","","","","","","","","","","","","","","","","","","","0","1",""
"Michael Roth  P","","","","","","","","","","","","","","","","","","","0","0",""
"Mike Morin  P","","","","","","","","","","","","","","","","","","","0","1",""
"Fernando Salas  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Grilli  P","","","","","","","","","","","","","","","","","","","0","0",""
"Joe Smith  P","","","","","","","","","","","","","","","","","","","0","0",""
