"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"J.B. Shuck  RF-LF","5","1","1","0","0","1","5",".196",".212",".333",".545","13","9","0.020","0.49","0.061","-0.042","-0.2","1","0","2B"
"Mike Trout  CF","5","2","1","0","0","3","5",".306",".366",".576",".942","22","13","0.046","0.47","0.057","-0.011","0.3","3","0",""
"Albert Pujols  1B","4","2","2","5","0","1","4",".274",".337",".619",".956","12","9","0.296","0.83","0.304","-0.008","3.4","10","0","2·HR"
"Raul Ibanez  LF","4","0","0","0","0","0","4",".152",".211",".318",".529","10","8","-0.030","0.30","0.000","-0.030","-0.7","2","0",""
"Collin Cowgill  RF","0","0","0","0","0","0","0",".368",".429",".632","1.060","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Howie Kendrick  2B","4","1","2","0","0","0","4",".306",".359",".424",".782","11","7","0.023","0.22","0.032","-0.009","0.3","2","4","2B"
"Erick Aybar  SS","4","1","2","0","0","0","4",".225",".273",".310",".583","7","6","-0.005","0.37","0.032","-0.038","0.5","0","2","2B,SB,CS"
"David Freese  3B","2","0","0","1","0","1","4",".136",".197",".186",".383","22","13","0.038","0.58","0.060","-0.022","0.3","0","3","HBP,SF"
"Chris Iannetta  C","4","0","1","1","0","0","4",".196",".356",".413",".769","9","7","0.023","0.55","0.061","-0.038","0.2","8","0",""
"Tyler Skaggs  P","3","0","0","0","0","2","3",".000",".000",".000",".000","14","9","-0.045","0.61","0.000","-0.045","-0.9","0","0",""
"Michael Kohn  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Ian Stewart  PH","1","0","0","0","0","1","1",".235",".257",".500",".757","4","3","-0.001","0.02","0.000","-0.001","-0.2","","",""
"Kevin Jepsen  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
