"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Danny Santana  SS","5","1","2","0","0","1","5",".316",".352",".470",".822","18","14","0.014","0.49","0.052","-0.038","-0.1","1","1","2B"
"Kurt Suzuki  C","4","0","1","2","0","0","5",".288",".347",".380",".727","19","12","0.103","0.83","0.144","-0.041","0.7","12","0","2B,SF"
"Joe Mauer  1B","4","0","2","0","1","0","5",".272",".357",".369",".726","14","6","-0.009","0.53","0.023","-0.032","0.1","9","0","IW"
"Trevor Plouffe  3B","4","1","2","1","1","0","5",".251",".322",".427",".749","22","12","0.061","0.80","0.123","-0.062","0.4","0","0","HR,GDP"
"Oswaldo Arcia  RF","3","1","1","0","2","0","5",".230",".303",".448",".752","21","8","0.069","0.85","0.111","-0.042","0.5","3","0",""
"Josmil Pinto  DH","4","0","0","0","0","1","4",".219",".317",".406",".723","12","8","-0.146","1.00","0.000","-0.146","-1.7","","","GDP"
"Chris Herrmann  LF","4","0","1","0","0","1","4",".173",".218",".173",".391","15","9","0.010","0.67","0.046","-0.036","-0.0","0","0",""
"Aaron Hicks  LF","0","0","0","0","0","0","0",".209",".333",".268",".601","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eduardo Escobar  2B","3","1","1","1","0","0","4",".271",".312",".401",".713","17","11","-0.007","0.86","0.027","-0.034","-0.2","1","3","SF"
"Jordan Schafer  CF","4","2","2","2","0","1","4",".245",".325",".321",".646","7","6","0.151","0.48","0.184","-0.033","2.4","1","0","HR,2·SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Trevor May  P","","","","","","","","","","","","","","","","","","","0","1",""
"Jared Burton  P","","","","","","","","","","","","","","","","","","","0","1",""
"Casey Fien  P","","","","","","","","","","","","","","","","","","","0","1",""
"Glen Perkins  P","","","","","","","","","","","","","","","","","","","0","0",""
