"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brian Dozier  2B","4","1","2","0","0","0","4",".263",".377",".480",".856","11","9","0.004","0.57","0.034","-0.031","0.0","0","3",""
"Joe Mauer  1B","4","0","1","0","0","0","4",".282",".370",".349",".719","17","12","0.025","0.70","0.067","-0.042","0.3","6","1",""
"Trevor Plouffe  3B","4","1","2","1","0","1","4",".251",".333",".407",".741","21","10","0.297","1.38","0.325","-0.027","1.8","1","1","2B"
"Chris Parmelee  RF","3","1","1","1","0","0","4",".250",".308",".500",".808","21","13","0.132","1.29","0.164","-0.032","1.4","2","0","HR,HBP"
"Kurt Suzuki  C","4","1","1","1","0","1","4",".310",".374",".434",".808","13","9","-0.096","1.41","0.129","-0.225","-1.2","9","0","HR,GDP"
"Jason Kubel  LF","3","0","0","0","1","2","4",".263",".342",".346",".688","22","12","-0.012","0.49","0.022","-0.034","-0.1","3","0",""
"Casey Fien  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Glen Perkins  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eduardo Escobar  SS","3","1","0","0","1","2","4",".337",".362",".506",".867","16","9","0.091","1.10","0.130","-0.039","0.1","0","0",""
"Aaron Hicks  CF","3","0","0","0","0","1","4",".192",".331",".263",".593","15","10","-0.050","0.93","0.000","-0.050","-0.6","4","0","SH"
"Kevin Correia  P","2","0","0","0","0","1","2",".000",".000",".000",".000","11","9","-0.034","0.71","0.000","-0.034","-0.4","1","0",""
"Josmil Pinto  PH","0","0","0","1","0","0","1",".245",".359",".443",".803","5","3","0.077","3.02","0.077","0.000","0.2","","","SF"
"Brian Duensing  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jared Burton  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Eduardo Nunez  LF","1","0","0","0","0","0","1",".296",".345",".407",".752","3","2","-0.003","0.10","0.000","-0.003","-0.1","1","0",""
