"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  LF","4","0","0","0","0","3","4",".272",".336",".330",".666","15","12","-0.159","1.27","0.000","-0.159","-1.1","0","0",""
"Derek Jeter  SS","4","1","2","0","0","0","4",".253",".321",".293",".614","11","7","-0.133","2.13","0.168","-0.300","-0.7","1","5","2B,GDP"
"Jacoby Ellsbury  CF","4","0","0","0","0","1","4",".322",".378",".470",".848","12","8","-0.139","1.35","0.000","-0.139","-1.2","2","0","GDP"
"Mark Teixeira  1B","3","0","1","1","1","1","4",".271",".403",".542",".945","14","7","0.134","1.17","0.155","-0.021","0.7","12","0",""
"Brian McCann  C","4","0","0","0","0","0","4",".217",".252",".358",".611","21","15","-0.114","1.24","0.000","-0.114","-0.9","4","0",""
"Alfonso Soriano  DH","3","0","0","0","0","2","3",".248",".283",".436",".719","15","7","-0.089","1.18","0.000","-0.089","-0.6","","",""
"Kelly Johnson  3B","3","0","1","0","0","1","3",".227",".284",".480",".764","12","7","0.032","1.07","0.069","-0.037","0.1","2","1",""
"Brian Roberts  2B","3","0","1","0","0","0","3",".239",".320",".295",".615","8","7","0.041","1.78","0.101","-0.060","0.2","2","4",""
"Ichiro Suzuki  RF","3","0","1","0","0","1","3",".373",".396",".451",".847","12","8","0.086","1.69","0.127","-0.041","0.6","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"David Phelps  P","","","","","","","","","","","","","","","","","","","0","2",""
"Adam Warren  P","","","","","","","","","","","","","","","","","","","0","1",""
"Shawn Kelley  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Preston Claiborne  P","","","","","","","","","","","","","","","","","","","0","0",""
