"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  LF","4","0","1","0","0","0","4",".278",".353",".455",".808","19","11","-0.039","0.71","0.019","-0.057","-0.4","3","0",""
"Derek Jeter  SS","4","0","0","0","0","0","4",".268",".319",".324",".643","13","12","-0.114","0.94","0.000","-0.114","-1.2","1","0","GDP"
"Jacoby Ellsbury  CF","4","0","0","0","0","1","4",".276",".344",".406",".750","16","10","-0.062","0.62","0.000","-0.062","-0.7","2","0",""
"Mark Teixeira  1B","3","1","1","0","1","0","4",".228",".331",".437",".768","13","5","0.004","0.57","0.040","-0.035","0.2","7","0",""
"Carlos Beltran  DH","4","0","1","0","0","1","4",".246",".302",".437",".739","19","14","0.009","0.85","0.070","-0.061","0.2","","","2B"
"Chase Headley  3B","4","0","1","1","0","1","4",".234",".308",".359",".667","15","8","-0.075","0.99","0.021","-0.096","-0.0","0","4",""
"Stephen Drew  2B","4","1","1","0","0","0","4",".172",".242",".310",".552","16","8","-0.017","1.05","0.069","-0.087","-0.3","1","1","2B"
"Martin Prado  RF","3","0","0","0","0","1","3",".262",".309",".361",".670","13","8","-0.053","0.98","0.000","-0.053","-0.6","2","0",""
"Ichiro Suzuki  RF","0","0","0","0","0","0","0",".277",".326",".324",".650","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Francisco Cervelli  C","2","1","1","2","1","1","3",".293",".356",".467",".824","17","9","0.173","0.90","0.185","-0.012","1.5","8","0","HR,SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Michael Pineda  P","","","","","","","","","","","","","","","","","","","0","0",""
"Dellin Betances  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Kelley  P","","","","","","","","","","","","","","","","","","","0","0",""
