"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  LF","3","0","0","0","2","1","5",".281",".357",".457",".813","29","15","-0.069","1.17","0.083","-0.152","-0.2","1","0","SB"
"Derek Jeter  SS","4","1","1","1","0","1","4",".276",".330",".333",".663","7","7","0.049","1.19","0.117","-0.068","0.4","1","4","HR"
"Jacoby Ellsbury  CF","3","1","1","0","1","0","4",".279",".345",".407",".753","10","5","0.011","1.61","0.099","-0.088","0.2","2","0","SB"
"Mark Teixeira  1B","4","0","1","0","0","0","4",".233",".337",".452",".790","13","8","-0.015","1.64","0.102","-0.116","-0.6","11","0","2B"
"Carlos Beltran  DH","3","1","2","2","1","0","4",".244",".300",".442",".742","14","7","0.148","1.69","0.222","-0.074","1.6","","","HR"
"Brian McCann  C","3","0","0","0","1","1","4",".235",".288",".368",".656","15","9","-0.081","2.00","0.029","-0.110","-0.7","4","1",""
"Chase Headley  3B","4","0","0","0","0","0","4",".234",".300",".361",".660","20","11","-0.207","1.95","0.000","-0.207","-1.2","0","5",""
"Stephen Drew  2B","4","0","0","0","0","0","4",".170",".248",".319",".567","12","8","-0.152","1.48","0.000","-0.152","-0.8","4","2",""
"Ichiro Suzuki  RF","2","0","1","0","0","0","2",".271",".322",".318",".639","3","2","0.023","1.05","0.048","-0.025","0.2","1","0",""
"Martin Prado  PH-RF","2","0","0","0","0","1","2",".269",".315",".368",".683","7","5","-0.082","1.66","0.000","-0.082","-0.3","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Capuano  P","","","","","","","","","","","","","","","","","","","0","1",""
"Shawn Kelley  P","","","","","","","","","","","","","","","","","","","0","0",""
"Matt Thornton  P","","","","","","","","","","","","","","","","","","","0","0",""
"Adam Warren  P","","","","","","","","","","","","","","","","","","","0","0",""
