"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","4","1","0","0","1","0","5",".000",".200",".000",".200","15","10","-0.029","0.31","0.006","-0.034","-0.5","1","0",""
"Derek Jeter  SS","3","1","1","0","0","1","4",".333",".500",".333",".833","15","11","0.026","0.33","0.037","-0.011","0.5","0","2","HBP"
"Carlos Beltran  RF","4","0","1","0","0","0","4",".250",".250",".250",".500","11","8","-0.017","0.49","0.009","-0.026","-0.1","2","1",""
"Brian McCann  C","4","0","1","1","0","0","4",".250",".250",".250",".500","10","8","-0.032","0.51","0.014","-0.046","-0.0","10","1",""
"Mark Teixeira  1B","3","0","2","1","1","0","4",".667",".750",".667","1.417","18","10","0.021","0.41","0.037","-0.016","1.0","11","0",""
"Alfonso Soriano  DH","4","0","0","0","0","2","4",".000",".000",".000",".000","18","13","-0.075","0.60","0.000","-0.075","-1.7","","","GDP"
"Brett Gardner  LF","3","0","0","0","0","0","4",".000",".250",".000",".250","20","15","-0.017","0.24","0.004","-0.021","-0.3","0","0","HBP"
"Brian Roberts  2B","3","0","0","0","1","0","4",".000",".250",".000",".250","18","10","-0.007","0.23","0.009","-0.016","-0.2","0","4",""
"Kelly Johnson  3B","4","0","1","0","0","0","4",".250",".250",".500",".750","13","8","-0.020","0.24","0.003","-0.023","-0.8","0","2","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"CC Sabathia  P","","","","","","","","","","","","","","","","","","","0","1",""
"Dellin Betances  P","","","","","","","","","","","","","","","","","","","0","0",""
"Vidal Nuno  P","","","","","","","","","","","","","","","","","","","0","0",""
