"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Brett Gardner  LF","5","1","1","0","0","2","5",".281",".346",".355",".701","24","16","-0.036","0.95","0.062","-0.098","-0.2","3","0","2B"
"Derek Jeter  SS","5","0","1","0","0","0","5",".252",".323",".313",".636","17","11","-0.164","1.29","0.007","-0.170","-1.0","1","2",""
"Jacoby Ellsbury  CF","4","1","1","0","1","1","5",".306",".369",".440",".809","24","14","-0.005","1.19","0.079","-0.084","0.0","2","0",""
"Mark Teixeira  1B","4","3","2","1","1","0","5",".266",".383",".557",".940","21","14","0.392","1.37","0.456","-0.064","1.3","8","0","HR"
"Kelly Johnson  3B","3","0","1","2","0","1","3",".225",".287",".475",".762","14","10","0.128","1.42","0.164","-0.037","1.4","2","0","2B"
"Carlos Beltran  PH-RF","2","0","0","0","0","0","2",".240",".292",".440",".732","6","5","-0.063","1.50","0.000","-0.063","-0.3","2","0",""
"Yangervis Solarte  2B-3B","2","0","2","2","1","0","4",".315",".394",".463",".857","17","9","0.136","0.93","0.136","0.000","1.2","0","0","SF"
"Ichiro Suzuki  RF","2","0","0","0","1","0","3",".364",".397",".436",".833","14","7","-0.051","0.97","0.005","-0.056","-0.5","1","0",""
"Alfonso Soriano  PH","1","0","0","0","0","1","1",".242",".275",".414",".689","5","4","-0.044","1.61","0.000","-0.044","-0.2","","",""
"Brendan Ryan  2B","0","0","0","0","0","0","0","1.000","1.000","1.000","2.000","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Adam Warren  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"John Ryan Murphy  C","4","0","3","0","0","1","4",".407",".407",".556",".963","10","7","0.136","1.23","0.161","-0.024","0.7","7","1",""
"David Phelps  P","2","0","0","0","0","0","3",".000",".000",".000",".000","5","5","-0.060","1.16","0.000","-0.060","-0.7","0","1","SH"
"Matt Thornton  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dellin Betances  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brian Roberts  PH-2B","1","0","0","0","0","0","1",".240",".316",".327",".643","1","1","-0.178","3.58","0.000","-0.178","-0.7","0","0","GDP"
