"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jacoby Ellsbury  CF","5","1","2","2","0","1","5",".286",".347",".431",".778","19","11","0.032","0.84","0.116","-0.083","1.8","1","0","HR,3B"
"Derek Jeter  SS","5","0","1","0","0","0","5",".264",".312",".315",".627","15","9","-0.039","0.63","0.021","-0.059","-1.3","0","3",""
"Martin Prado  3B-2B","5","0","2","0","0","1","5",".273",".315",".391",".706","19","14","0.049","0.53","0.063","-0.014","0.1","3","4",""
"Mark Teixeira  1B","5","0","0","0","0","1","5",".226",".328",".421",".748","20","14","-0.143","1.16","0.000","-0.143","-1.4","6","0",""
"Brian McCann  C","4","1","1","0","0","1","4",".236",".288",".387",".675","14","9","0.069","0.93","0.121","-0.052","0.1","6","0","2B"
"Carlos Beltran  DH","2","1","0","0","2","0","4",".244",".304",".427",".732","19","8","0.023","1.10","0.065","-0.042","0.2","","",""
"Brett Gardner  LF","3","1","1","1","1","1","4",".268",".345",".432",".777","17","10","0.366","1.63","0.412","-0.047","2.3","2","0","2B"
"Ichiro Suzuki  RF","4","1","1","0","0","0","4",".288",".330",".333",".663","14","8","-0.029","0.79","0.024","-0.053","-0.2","2","0",""
"Stephen Drew  2B","2","0","1","0","0","1","2",".173",".248",".330",".578","10","5","-0.011","0.95","0.025","-0.036","-0.0","7","2","2B"
"Chase Headley  PH-3B","2","1","1","1","0","1","2",".235",".311",".359",".669","4","4","-0.020","0.81","0.038","-0.058","0.3","0","1","HR"
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Capuano  P","","","","","","","","","","","","","","","","","","","0","0",""
"Adam Warren  P","","","","","","","","","","","","","","","","","","","0","0",""
"Josh Outman  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
