"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Coco Crisp  CF","3","0","1","0","0","0","3",".282",".377",".435",".812","12","7","-0.041","0.63","0.003","-0.044","-0.3","1","0",""
"Eric Sogard  2B","1","0","0","0","0","0","1",".194",".269",".229",".498","3","3","0.000","0.00","0.000","0.000","-0.1","0","0",""
"Josh Donaldson  3B","4","0","0","0","0","2","4",".248",".331",".474",".805","19","13","-0.034","0.35","0.000","-0.034","-0.5","0","6",""
"Brandon Moss  1B-LF","4","1","1","0","0","0","4",".261",".351",".517",".868","12","6","0.000","0.22","0.012","-0.012","-0.4","10","1",""
"Yoenis Cespedes  LF-CF","4","0","2","1","0","0","4",".269",".321",".507",".828","15","10","0.134","0.28","0.136","-0.002","1.2","2","0","2B"
"Stephen Vogt  C","3","0","0","0","0","1","3",".327",".345",".491",".836","14","9","-0.040","0.54","0.000","-0.040","-0.7","5","0",""
"Jeff Francis  P","1","0","0","0","0","1","1",".000",".000",".000",".000","5","3","0.000","0.00","0.000","0.000","-0.1","0","0",""
"Jed Lowrie  SS","2","0","0","0","0","1","2",".218",".317",".331",".648","9","7","-0.027","0.57","0.000","-0.027","-0.5","0","0",""
"Jim Johnson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","2",""
"John Jaso  C","1","0","0","0","0","1","1",".270",".358",".455",".813","4","3","-0.001","0.02","0.000","-0.001","-0.2","2","1",""
"Josh Reddick  RF","2","0","0","0","1","1","3",".212",".280",".335",".615","11","6","0.017","0.25","0.022","-0.005","-0.1","0","0",""
"Alberto Callaspo  2B-1B","3","0","0","0","0","0","3",".233",".327",".314",".641","10","5","-0.030","0.43","0.000","-0.030","-0.5","4","2",""
"Scott Kazmir  P","1","0","0","0","0","0","1",".000",".000",".000",".000","3","3","-0.020","0.73","0.000","-0.020","-0.2","0","1",""
"Nick Punto  SS","2","0","0","0","0","2","2",".227",".327",".289",".616","6","6","-0.004","0.07","0.000","-0.004","-0.3","0","0",""
