"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"John Jaso  DH","4","1","1","0","0","1","4",".274",".351",".448",".799","11","9","-0.049","0.55","0.003","-0.052","-0.1","","",""
"Stephen Vogt  1B","4","0","1","0","0","2","4",".371",".402",".552",".954","18","12","-0.017","0.37","0.011","-0.029","-0.5","7","3",""
"Yoenis Cespedes  LF","4","0","0","0","0","1","4",".249",".303",".447",".750","13","10","0.019","0.57","0.049","-0.030","-0.2","0","1",""
"Brandon Moss  RF","4","1","1","2","0","1","4",".268",".350",".524",".874","15","8","-0.087","0.94","0.001","-0.088","1.1","0","0","HR"
"Josh Donaldson  3B","4","0","1","0","0","0","4",".241",".320",".454",".774","8","5","-0.052","0.69","0.026","-0.078","-0.5","3","2","GDP"
"Jed Lowrie  SS","3","0","1","0","0","0","3",".239",".322",".344",".666","7","5","0.001","0.93","0.039","-0.038","0.1","2","2",""
"Derek Norris  C","3","0","0","0","0","2","3",".294",".402",".477",".879","13","9","-0.087","1.27","0.000","-0.087","-0.8","7","0",""
"Eric Sogard  2B","3","0","0","0","0","1","3",".186",".256",".218",".474","9","8","-0.070","0.94","0.000","-0.070","-0.6","1","4",""
"Craig Gentry  CF","3","0","0","0","0","0","3",".271",".335",".311",".646","11","8","-0.052","0.71","0.000","-0.052","-0.5","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jesse Chavez  P","","","","","","","","","","","","","","","","","","","2","0",""
"Fernando Abad  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ryan Cook  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jim Johnson  P","","","","","","","","","","","","","","","","","","","0","0",""
