"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Willie Bloomquist  1B","4","0","1","0","1","1","5",".234",".254",".313",".566","16","10","-0.076","1.02","0.014","-0.090","-0.7","9","1","IW"
"Fernando Rodney  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Endy Chavez  CF-RF","5","0","1","0","0","0","5",".190",".190",".286",".476","13","11","-0.117","1.06","0.007","-0.125","-0.8","0","0",""
"Robinson Cano  2B","5","1","1","0","0","1","5",".330",".377",".422",".799","14","8","-0.021","0.72","0.045","-0.066","-0.6","5","1",""
"Stefen Romero  RF","4","0","2","0","0","1","4",".214",".264",".368",".632","16","9","0.101","1.07","0.145","-0.045","0.8","0","0","3B"
"James Jones  PR-CF","0","1","0","0","0","0","0",".283",".330",".374",".704","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Kyle Seager  3B","4","0","1","1","0","1","4",".265",".345",".485",".830","10","6","-0.037","1.31","0.059","-0.096","-0.3","0","4",""
"Mike Zunino  C","4","0","1","0","0","3","4",".228",".285",".420",".705","18","10","-0.064","0.96","0.012","-0.076","-0.7","9","0",""
"Cole Gillespie  LF","4","0","2","1","0","2","4",".303",".378",".333",".712","18","11","0.185","1.21","0.218","-0.034","1.3","1","0",""
"Brad Miller  SS","3","0","0","0","1","3","4",".170",".247",".273",".520","22","13","-0.067","1.10","0.035","-0.103","-0.7","1","6",""
"Hisashi Iwakuma  P","1","0","0","0","1","1","3",".000",".500",".000",".500","10","6","-0.015","1.27","0.036","-0.051","-0.1","1","1","SH"
"Yoervis Medina  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Justin Smoak  PH-1B","1","0","0","0","0","0","1",".211",".283",".366",".649","2","2","-0.004","0.17","0.000","-0.004","-0.1","1","0",""
