"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dustin Ackley  LF","4","0","0","0","0","1","4",".253",".300",".367",".667","13","11","-0.072","0.71","0.000","-0.072","-0.7","4","0",""
"Endy Chavez  RF","3","0","0","0","0","0","3",".255",".279",".338",".616","9","9","-0.067","0.90","0.000","-0.067","-0.5","1","0",""
"Robinson Cano  2B","3","0","1","0","0","1","3",".327",".389",".451",".840","9","7","-0.004","0.60","0.028","-0.032","-0.0","1","7",""
"Kendrys Morales  DH","3","0","0","0","0","1","3",".215",".246",".297",".542","8","6","-0.077","0.97","0.000","-0.077","-0.6","","",""
"Kyle Seager  3B","3","0","1","0","0","1","3",".281",".346",".487",".834","15","10","-0.039","1.09","0.026","-0.065","-0.2","0","2",""
"Logan Morrison  1B","3","0","1","0","0","1","3",".205",".259",".333",".593","10","8","-0.043","1.01","0.033","-0.076","-0.4","8","2","GDP"
"Mike Zunino  C","3","0","0","0","0","1","3",".212",".262",".430",".693","7","6","-0.106","1.02","0.000","-0.106","-0.8","8","0","GDP"
"Brad Miller  SS","3","0","0","0","0","0","3",".201",".274",".320",".594","6","5","-0.084","1.13","0.000","-0.084","-0.6","0","0",""
"James Jones  CF","3","0","0","0","0","2","3",".258",".287",".313",".600","8","7","-0.055","0.73","0.000","-0.055","-0.4","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Hernandez  P","","","","","","","","","","","","","","","","","","","1","0",""
"Joe Beimel  P","","","","","","","","","","","","","","","","","","","0","0",""
