"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Abraham Almonte  CF","4","0","0","0","0","0","4",".233",".282",".356",".638","8","6","-0.054","0.55","0.000","-0.054","-1.0","4","0",""
"Brad Miller  SS","3","0","0","0","0","2","3",".194",".237",".361",".598","14","9","-0.036","0.50","0.000","-0.036","-0.4","0","2",""
"Robinson Cano  2B","3","0","0","0","0","0","3",".254",".311",".328",".639","10","6","-0.023","0.31","0.000","-0.023","-0.3","2","2",""
"Justin Smoak  1B","3","0","0","0","0","0","3",".233",".292",".400",".692","10","6","-0.053","0.71","0.000","-0.053","-0.6","9","0",""
"Michael Saunders  RF","3","0","0","0","0","1","3",".194",".257",".290",".547","10","6","-0.035","0.48","0.000","-0.035","-0.4","0","0",""
"Kyle Seager  3B","3","0","0","0","0","1","3",".161",".288",".232",".520","10","6","-0.022","0.29","0.000","-0.022","-0.3","0","3",""
"Fernando Rodney  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dustin Ackley  LF","3","0","1","0","0","0","3",".293",".328",".448",".776","6","6","0.029","0.73","0.054","-0.025","-0.1","2","0",""
"Mike Zunino  C","3","0","1","0","0","0","3",".283",".296",".547",".843","8","7","-0.118","0.96","0.001","-0.119","-0.5","7","1","2B,GDP"
"Roenis Elias  P","2","0","0","0","0","0","2",".000",".000",".000",".000","12","8","-0.023","0.46","0.000","-0.023","-0.2","0","0",""
"Danny Farquhar  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Nick Franklin  3B","1","0","0","0","0","0","1",".111",".200",".333",".533","2","2","-0.001","0.02","0.000","-0.001","-0.3","0","0",""
