"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Abraham Almonte  CF","4","1","1","1","0","2","4",".286",".375",".524",".899","14","8","0.044","0.56","0.094","-0.051","0.5","3","0","HR"
"Brad Miller  SS","4","0","1","0","0","2","4",".250",".250",".583",".833","12","9","-0.035","0.53","0.012","-0.047","-0.4","1","2","2B"
"Robinson Cano  2B","3","0","2","0","1","0","4",".421",".542",".474","1.015","11","6","0.030","0.48","0.039","-0.010","0.5","0","2","IW"
"Justin Smoak  1B","4","0","0","0","0","1","4",".286",".348",".667","1.014","20","12","-0.084","0.88","0.000","-0.084","-1.2","8","0",""
"Corey Hart  DH","4","0","0","0","0","2","4",".167",".167",".333",".500","14","10","-0.058","0.56","0.000","-0.058","-0.8","","",""
"Kyle Seager  3B","4","1","1","0","0","1","4",".133",".278",".267",".544","18","13","0.109","0.74","0.129","-0.020","0.4","0","3","2B"
"Logan Morrison  RF","3","0","1","0","0","0","3",".222",".364",".222",".586","9","7","-0.021","0.95","0.041","-0.062","-0.1","0","0",""
"Michael Saunders  RF","1","0","0","0","0","0","1",".000",".100",".000",".100","4","3","-0.002","0.08","0.000","-0.002","-0.1","3","0",""
"Dustin Ackley  LF","4","1","1","2","0","0","4",".300",".364",".600",".964","15","7","0.134","1.03","0.181","-0.047","0.7","2","0","HR"
"Mike Zunino  C","3","0","0","0","0","1","3",".235",".235",".588",".824","15","12","-0.048","0.68","0.000","-0.048","-0.6","10","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Felix Hernandez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Fernando Rodney  P","","","","","","","","","","","","","","","","","","","0","0",""
