"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ben Zobrist  2B","4","0","0","0","0","1","4",".272",".353",".395",".748","14","12","-0.124","1.23","0.000","-0.124","-0.8","0","2",""
"David DeJesus  DH","4","0","0","0","0","2","4",".248",".346",".406",".752","18","10","-0.107","1.08","0.000","-0.107","-0.7","","",""
"Evan Longoria  3B","4","0","1","0","0","2","4",".254",".323",".407",".730","13","10","-0.035","0.72","0.021","-0.056","-0.2","0","2",""
"James Loney  1B","4","0","2","0","0","1","4",".290",".336",".381",".717","11","10","-0.053","1.42","0.056","-0.109","0.1","7","0",""
"Nick Franklin  SS","4","0","0","0","0","0","4",".176",".241",".270",".511","6","6","-0.204","1.62","0.000","-0.204","-1.4","2","4","GDP"
"Matthew Joyce  RF","3","0","1","0","1","1","4",".255",".350",".386",".735","19","11","-0.005","1.08","0.062","-0.067","0.1","0","0",""
"Brandon Guyer  LF","3","0","0","0","0","2","3",".266",".332",".363",".695","11","8","-0.082","1.36","0.000","-0.082","-0.6","5","0",""
"Kevin Kiermaier  CF","2","0","1","0","1","1","3",".265",".317",".454",".772","12","7","0.030","1.30","0.057","-0.026","0.1","4","0","3B"
"Ryan Hanigan  C","3","0","0","0","0","2","3",".222",".323",".330",".653","12","8","-0.153","1.98","0.000","-0.153","-0.9","6","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Archer  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jeff Beliveau  P","","","","","","","","","","","","","","","","","","","0","0",""
