"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Desmond Jennings  CF","5","0","1","0","0","0","5",".242",".330",".375",".705","14","12","-0.060","0.60","0.008","-0.067","-0.6","2","0",""
"Kevin Kiermaier  RF","4","2","2","0","0","1","4",".362",".422",".707","1.129","21","14","0.001","0.70","0.081","-0.081","-0.3","3","0","2·2B,CS"
"Evan Longoria  3B","4","1","2","3","0","0","4",".265",".330",".396",".725","16","10","0.108","0.57","0.129","-0.021","2.4","0","3","HR"
"James Loney  1B","4","0","1","0","0","0","4",".281",".343",".382",".724","11","9","-0.030","0.59","0.013","-0.043","-0.4","8","2","2B"
"Ben Zobrist  2B-LF","4","0","0","0","0","2","4",".251",".326",".381",".708","18","10","-0.063","0.59","0.000","-0.063","-0.9","2","2",""
"David DeJesus  DH","2","0","1","0","1","0","3",".263",".355",".434",".789","18","8","0.026","0.55","0.041","-0.015","0.3","","",""
"Sean Rodriguez  PH","1","0","1","0","0","0","1",".219",".269",".490",".759","4","2","0.005","0.12","0.005","0.000","0.1","","",""
"Matthew Joyce  LF","3","0","1","0","0","0","3",".266",".356",".388",".744","4","3","-0.009","0.74","0.015","-0.024","-0.1","0","0",""
"Logan Forsythe  PH-2B","1","0","0","0","0","0","1",".179",".234",".231",".465","3","2","-0.008","0.27","0.000","-0.008","-0.2","0","1",""
"Yunel Escobar  SS","4","0","0","0","0","0","4",".242",".318",".320",".638","10","7","-0.074","0.70","0.000","-0.074","-1.1","1","2",""
"Ryan Hanigan  C","4","0","1","0","0","0","4",".218",".302",".331",".633","13","8","-0.015","0.52","0.026","-0.041","-0.3","7","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Chris Archer  P","","","","","","","","","","","","","","","","","","","1","1",""
"Cesar Ramos  P","","","","","","","","","","","","","","","","","","","0","0",""
"Juan Carlos Oviedo  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kirby Yates  P","","","","","","","","","","","","","","","","","","","0","0",""
