"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Desmond Jennings  CF","6","1","1","0","0","1","6",".241",".323",".384",".707","25","21","-0.093","1.67","0.147","-0.240","-0.4","3","0","3B"
"Ben Zobrist  SS-LF","5","0","0","1","0","3","6",".283",".369",".431",".800","28","19","-0.329","1.75","0.000","-0.329","-1.7","0","3","SF,GDP"
"Matthew Joyce  LF","2","1","1","0","0","1","3",".282",".373",".424",".797","10","5","0.149","0.62","0.159","-0.010","1.2","1","0","3B,HBP"
"Brandon Guyer  PH-LF","3","0","1","0","0","0","3",".273",".347",".355",".702","4","4","-0.091","1.86","0.025","-0.116","-0.3","1","0",""
"Yunel Escobar  LF-SS","0","0","0","0","0","0","0",".257",".326",".331",".656","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Evan Longoria  3B","6","0","2","0","0","0","6",".251",".324",".390",".714","24","20","-0.016","1.36","0.134","-0.151","-0.2","2","4","2B"
"James Loney  1B","6","0","0","0","0","0","6",".282",".335",".367",".702","10","8","-0.246","1.56","0.000","-0.246","-1.3","11","1",""
"Sean Rodriguez  DH","6","0","1","0","0","1","6",".225",".275",".478",".752","21","14","-0.107","1.66","0.113","-0.220","-0.1","","",""
"Logan Forsythe  2B","4","0","0","0","0","2","5",".241",".293",".351",".644","20","17","-0.146","1.36","0.000","-0.146","-1.0","3","3","SH"
"Jose Molina  C","4","0","1","0","0","0","4",".193",".250",".203",".453","18","12","-0.056","1.42","0.082","-0.138","-0.7","10","0",""
"Cole Figueroa  PR","0","0","0","0","0","0","0",".233",".286",".326",".611","","","0.000","0.00","0.000","0.000","0.0","","",""
"Curt Casali  C","1","0","0","0","0","0","1",".143",".231",".171",".402","6","4","-0.033","1.29","0.000","-0.033","-0.1","3","0",""
"Kevin Kiermaier  RF","4","0","0","0","0","1","5",".279",".332",".502",".834","17","12","0.003","1.57","0.117","-0.114","-0.1","7","2","SH"
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Hellickson  P","","","","","","","","","","","","","","","","","","","0","1",""
"Joel Peralta  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jeff Beliveau  P","","","","","","","","","","","","","","","","","","","0","0",""
"Brad Boxberger  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jake McGee  P","","","","","","","","","","","","","","","","","","","0","0",""
"Grant Balfour  P","","","","","","","","","","","","","","","","","","","0","0",""
"Cesar Ramos  P","","","","","","","","","","","","","","","","","","","0","0",""
