"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Leonys Martin  CF","4","1","1","0","1","0","5",".279",".330",".373",".704","21","10","-0.095","1.31","0.054","-0.149","-0.3","3","0","IW"
"Adam Rosales  1B","5","0","1","0","0","2","5",".292",".363",".424",".786","24","17","-0.120","1.63","0.080","-0.201","-1.6","9","1","GDP"
"Rougned Odor  2B","3","0","0","0","0","0","4",".258",".296",".390",".687","11","10","-0.069","1.43","0.003","-0.072","-0.5","1","4","SH"
"Adrian Beltre  3B","3","0","0","0","1","0","4",".325",".389",".493",".882","15","8","-0.057","1.30","0.009","-0.067","-0.3","0","2","IW"
"Jake Smolinski  RF","4","0","1","0","0","2","4",".355",".394",".516",".910","19","15","-0.064","1.66","0.086","-0.150","-0.4","3","0","2B"
"Tomas Telis  C","3","0","2","1","1","1","4",".262",".286",".279",".564","24","14","0.159","2.18","0.214","-0.055","1.3","7","0",""
"Ryan Rua  LF","4","1","1","1","0","1","4",".313",".329",".410",".739","15","11","0.227","2.02","0.393","-0.166","-0.5","2","0","HR"
"J.P. Arencibia  DH","4","0","1","0","0","3","4",".175",".234",".365",".599","19","13","-0.105","1.40","0.015","-0.120","-0.6","","",""
"Guilder Rodriguez  PR","0","0","0","0","0","0","0",".000",".143",".000",".143","","","0.000","0.00","0.000","0.000","0.0","","",""
"Luis Sardinas  SS","4","0","2","0","0","0","4",".269",".303",".317",".620","11","9","0.124","1.38","0.198","-0.074","1.0","1","4","2B,SB"
"","","","","","","","","","","","","","","","","","","","","",""
"Nick Tepesch  P","","","","","","","","","","","","","","","","","","","1","0",""
"Michael Kirkman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Tolleson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Neftali Feliz  P","","","","","","","","","","","","","","","","","","","0","0",""
