"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  RF","4","0","1","0","0","0","4",".243",".352",".363",".715","14","8","-0.050","0.50","0.000","-0.050","-0.4","2","0",""
"Dan Robertson  PR-RF","1","1","1","0","0","0","1",".276",".308",".310",".618","4","2","0.000","0.00","0.000","0.000","0.2","0","0",""
"Elvis Andrus  SS","4","0","2","1","1","0","5",".270",".319",".345",".664","24","13","-0.007","0.22","0.014","-0.021","1.1","4","2",""
"Alex Rios  DH","5","0","0","0","0","1","5",".300",".331",".425",".756","22","15","-0.037","0.27","0.000","-0.037","-1.3","","",""
"Adrian Beltre  3B","2","0","2","0","1","0","3",".327",".374",".516",".890","13","6","0.078","0.62","0.078","0.000","1.0","1","1",""
"Adam Rosales  3B","1","0","1","0","0","0","1",".280",".357",".440",".797","1","1","0.000","0.00","0.000","0.000","0.4","1","0",""
"Jim Adduci  LF","3","0","0","0","1","2","4",".265",".339",".327",".666","17","11","0.027","0.80","0.063","-0.035","-0.4","3","0",""
"J.P. Arencibia  1B","3","0","0","0","0","2","4",".182",".233",".391",".624","17","12","-0.086","0.83","0.001","-0.087","-0.9","3","1","HBP"
"Leonys Martin  CF","4","0","0","0","0","0","4",".259",".317",".366",".683","20","15","-0.070","0.73","0.000","-0.070","-1.3","2","1",""
"Robinson Chirinos  C","4","1","2","0","0","0","4",".234",".272",".405",".677","14","12","-0.008","0.56","0.038","-0.046","0.0","7","0","2B"
"Rougned Odor  2B","4","0","0","1","0","1","4",".257",".295",".379",".674","13","11","-0.042","0.44","0.000","-0.042","-0.7","1","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jerome Williams  P","","","","","","","","","","","","","","","","","","","0","1",""
"Nathan Adcock  P","","","","","","","","","","","","","","","","","","","0","0",""
"Phil Klein  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Baker  P","","","","","","","","","","","","","","","","","","","0","0",""
