"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Shin-Soo Choo  LF","5","0","0","0","0","0","5",".250",".372",".394",".766","17","11","-0.075","0.54","0.000","-0.075","-1.6","2","0","GDP"
"Joakim Soria  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Elvis Andrus  SS","5","1","1","0","0","1","5",".271",".319",".348",".667","19","14","0.009","0.39","0.042","-0.033","-0.2","4","3","2B"
"Alex Rios  RF","4","1","3","1","0","0","4",".305",".335",".432",".767","14","10","0.134","0.53","0.139","-0.005","1.3","1","0","2B,SB"
"Adrian Beltre  3B","4","1","1","1","0","2","4",".335",".382",".522",".903","18","16","-0.013","0.75","0.047","-0.060","0.2","3","1","HR"
"Leonys Martin  CF","3","1","0","0","1","0","4",".268",".329",".360",".689","15","8","-0.027","0.60","0.008","-0.035","-0.5","1","0",""
"Robinson Chirinos  C","4","1","2","3","0","1","4",".251",".284",".444",".729","16","12","0.241","0.69","0.258","-0.017","2.7","10","1","HR"
"Carlos Pena  1B","3","0","1","0","1","0","4",".111",".179",".222",".402","14","7","-0.002","0.39","0.023","-0.025","0.0","5","1","2B"
"Rougned Odor  2B","4","0","1","0","0","0","4",".262",".295",".390",".685","11","9","-0.046","0.56","0.000","-0.046","-0.9","0","3",""
"Colby Lewis  P","3","0","1","0","0","1","3",".400",".400",".400",".800","8","6","-0.018","0.49","0.009","-0.028","-0.2","0","1",""
"Neal Cotts  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"Shawn Tolleson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dan Robertson  PH-LF","1","0","1","0","0","0","1",".241",".281",".278",".558","3","3","0.009","0.22","0.009","0.000","0.4","0","0",""
