"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Dan Robertson  CF-LF","5","1","1","1","0","0","5",".209",".261",".256",".517","20","12","-0.009","0.84","0.053","-0.062","0.1","2","1","SB"
"Elvis Andrus  SS","4","1","2","0","0","1","4",".268",".314",".355",".669","20","14","0.052","0.92","0.097","-0.045","0.4","1","2","2B"
"Shin-Soo Choo  DH","4","0","0","0","0","1","4",".249",".385",".384",".769","12","9","-0.122","1.37","0.000","-0.122","-0.9","","",""
"Adrian Beltre  3B","3","0","2","1","1","0","4",".314",".360",".491",".851","9","3","0.126","1.09","0.157","-0.031","1.1","3","1",""
"Alex Rios  RF","3","0","0","1","0","1","4",".320",".352",".462",".813","18","11","-0.104","1.40","0.000","-0.104","-0.6","1","1","SF"
"Donnie Murphy  1B","2","0","0","0","0","1","2",".212",".286",".356",".641","9","6","-0.045","0.85","0.000","-0.045","-0.4","3","1",""
"Brad Snyder  PH-1B","2","0","0","0","0","0","2",".188",".350",".375",".725","7","4","-0.051","0.97","0.000","-0.051","-0.4","1","0",""
"Chris Gimenez  C","4","1","0","0","0","1","4",".347",".385",".449",".834","14","10","-0.033","0.56","0.015","-0.048","-0.1","11","1",""
"Michael Choice  LF","2","0","0","0","0","0","2",".194",".268",".350",".618","8","4","-0.023","0.47","0.000","-0.023","-0.2","0","0",""
"Leonys Martin  PH-CF","2","1","1","0","0","1","2",".268",".315",".357",".672","8","6","0.021","0.47","0.029","-0.008","0.4","0","0",""
"Rougned Odor  2B","4","2","2","3","0","1","4",".312",".330",".505",".835","7","7","0.144","0.66","0.174","-0.029","2.6","2","1","HR,3B"
"","","","","","","","","","","","","","","","","","","","","",""
"Yu Darvish  P","","","","","","","","","","","","","","","","","","","0","0",""
"Aaron Poreda  P","","","","","","","","","","","","","","","","","","","0","0",""
"Shawn Tolleson  P","","","","","","","","","","","","","","","","","","","0","0",""
"Neal Cotts  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jason Frasor  P","","","","","","","","","","","","","","","","","","","0","0",""
"Scott Baker  P","","","","","","","","","","","","","","","","","","","0","0",""
