"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","5","1","4","3","0","0","5",".267",".320",".410",".729","11","11","0.270","1.03","0.308","-0.038","2.4","1","4","HR"
"Steven Tolleson  3B","5","0","2","0","0","2","5",".253",".327",".444",".772","19","13","-0.081","0.87","0.029","-0.110","-0.9","1","3","CS"
"Melky Cabrera  LF","4","0","1","0","0","0","4",".301",".345",".460",".805","12","8","-0.041","1.07","0.036","-0.077","-0.4","1","1",""
"Jose Bautista  1B","4","1","1","0","0","0","4",".293",".412",".513",".926","23","15","-0.059","0.67","0.013","-0.073","-0.1","9","1","SB"
"Nolan Reimold  RF","4","0","2","0","0","1","4",".286",".286",".571",".857","12","9","0.071","0.61","0.095","-0.024","0.3","3","0","2·2B"
"Dioner Navarro  DH","3","0","1","1","0","1","4",".256",".300",".350",".649","15","11","0.006","0.91","0.058","-0.051","0.8","","","HBP"
"Darin Mastroianni  CF","4","0","0","0","0","0","4",".094",".121",".188",".309","8","7","-0.166","1.11","0.000","-0.166","-2.0","3","0","2·GDP"
"Munenori Kawasaki  2B","4","2","2","0","0","0","4",".278",".345",".329",".674","14","9","0.018","0.75","0.057","-0.040","-0.1","1","2",""
"Josh Thole  C","4","0","1","0","0","0","4",".269",".337",".295",".632","18","15","0.040","0.95","0.092","-0.053","0.0","7","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"R.A. Dickey  P","","","","","","","","","","","","","","","","","","","1","0",""
"Dustin McGowan  P","","","","","","","","","","","","","","","","","","","0","0",""
"Aaron Loup  P","","","","","","","","","","","","","","","","","","","0","0",""
