"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Munenori Kawasaki  SS-2B","5","1","0","0","0","2","5",".194",".265",".290",".555","22","14","-0.059","1.06","0.044","-0.104","-0.3","5","2",""
"Melky Cabrera  LF","4","1","2","0","0","2","4",".303",".347",".476",".823","14","11","0.054","0.94","0.088","-0.035","0.4","1","0",""
"Jose Bautista  RF","1","0","1","0","0","0","2",".305",".433",".526",".959","3","2","0.107","1.43","0.107","0.000","1.0","1","1","SH"
"Jose Reyes  PR-SS","1","0","0","0","1","0","2",".251",".314",".385",".698","9","5","-0.014","0.83","0.016","-0.031","-0.1","0","1",""
"Edwin Encarnacion  1B","4","1","2","1","0","1","4",".266",".350",".595",".945","16","13","0.027","1.55","0.142","-0.115","0.3","5","0","HR"
"Colby Rasmus  CF","4","0","2","2","0","2","4",".245",".287",".510",".796","16","10","0.113","2.11","0.213","-0.100","1.0","3","0",""
"Brett Lawrie  2B","0","0","0","0","0","0","1",".244",".299",".419",".718","2","1","0.041","0.97","0.041","0.000","0.4","1","0","HBP"
"Steven Tolleson  2B-RF","3","0","0","0","0","0","3",".234",".306",".416",".721","10","7","-0.146","1.86","0.000","-0.146","-1.2","0","0","GDP"
"Juan Francisco  3B","4","0","0","0","0","2","4",".239",".318",".541",".859","13","9","-0.140","1.31","0.000","-0.140","-1.1","1","4",""
"Josh Thole  C","3","0","0","0","0","0","3",".277",".356",".308",".664","10","7","-0.073","0.99","0.000","-0.073","-0.6","7","0",""
"Erik Kratz  PH","1","0","0","0","0","1","1",".221",".254",".382",".636","7","4","-0.068","2.78","0.000","-0.068","-0.2","","",""
"R.A. Dickey  P","3","0","0","0","0","0","3",".000",".000",".000",".000","9","8","-0.065","0.85","0.000","-0.065","-0.5","0","1",""
"Sergio Santos  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Dioner Navarro  PH","1","0","0","0","0","1","1",".263",".306",".341",".647","7","5","-0.048","1.98","0.000","-0.048","-0.1","","",""
