"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","5","1","1","0","0","0","5",".182",".224",".291",".515","26","16","0.003","0.92","0.076","-0.072","0.2","1","3","SB"
"Melky Cabrera  LF","5","0","1","0","0","0","5",".336",".362",".552",".914","24","15","-0.017","0.70","0.028","-0.044","-0.6","2","0",""
"Anthony Gose  LF","0","0","0","0","0","0","0",".333",".556",".500","1.056","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jose Bautista  RF","5","1","2","1","0","0","5",".297",".462",".594","1.056","18","9","0.064","0.81","0.099","-0.036","0.4","2","0","2·2B"
"Edwin Encarnacion  1B","4","0","1","1","1","1","5",".252",".346",".414",".761","18","9","0.056","0.83","0.120","-0.064","0.4","11","0","2B,SB"
"Juan Francisco  3B","3","1","1","0","1","1","4",".279",".380",".558",".938","15","8","0.101","1.21","0.143","-0.042","0.6","0","3","2B"
"Brett Cecil  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Sergio Santos  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Brett Lawrie  2B-3B","4","1","2","0","0","0","4",".215",".267",".402",".669","12","7","-0.025","1.06","0.087","-0.112","-0.0","2","4","2B"
"Colby Rasmus  CF","4","1","1","2","0","2","4",".198",".250",".436",".686","16","10","0.110","1.17","0.190","-0.079","0.4","1","0","HR"
"Josh Thole  C","4","0","0","0","0","1","4",".393",".414",".429",".842","14","8","-0.066","0.77","0.000","-0.066","-0.7","7","0",""
"Brandon Morrow  P","2","0","0","0","0","2","2",".000",".000",".000",".000","12","7","-0.019","0.39","0.000","-0.019","-0.2","0","1",""
"Steven Tolleson  PH","1","0","1","1","0","0","1","1.000","1.000","3.000","4.000","2","1","0.127","1.56","0.127","0.000","1.0","","","3B"
"Steve Delabar  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Chris Getz  2B","1","0","0","0","0","1","1",".333",".385",".417",".801","4","3","-0.020","0.75","0.000","-0.020","-0.3","0","1",""
