"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Reyes  SS","3","2","1","0","1","0","4",".287",".337",".408",".745","12","6","-0.027","1.04","0.049","-0.075","0.1","0","3",""
"Melky Cabrera  LF","4","1","2","1","0","0","4",".317",".372",".479",".851","16","13","0.126","0.83","0.156","-0.031","1.6","2","0","2B"
"Jose Bautista  RF","4","0","1","1","0","0","4",".294",".410",".518",".929","18","12","0.034","0.99","0.083","-0.049","0.7","2","0","2B"
"Adam Lind  DH","3","0","0","0","0","1","3",".315",".383",".481",".864","14","10","-0.080","0.80","0.000","-0.080","-0.8","","",""
"Nolan Reimold  PH","0","0","0","1","0","0","1",".220",".306",".463",".770","3","3","-0.049","2.15","0.000","-0.049","-0.0","","","SF"
"Dioner Navarro  C","4","0","0","0","0","0","4",".273",".311",".386",".697","17","12","-0.099","0.96","0.000","-0.099","-1.0","4","3",""
"Colby Rasmus  CF","4","0","0","0","0","3","4",".221",".286",".439",".725","14","12","-0.075","0.77","0.000","-0.075","-0.8","4","0",""
"Danny Valencia  3B-1B","4","0","1","0","0","1","4",".289",".331",".389",".721","15","12","-0.034","0.48","0.009","-0.043","-0.2","5","3","2B"
"Juan Francisco  1B","2","0","1","0","0","0","2",".224",".297",".475",".772","13","10","0.023","0.47","0.032","-0.009","0.1","6","1","2B"
"Steven Tolleson  PH-3B","1","0","0","0","0","0","1",".234",".303",".372",".675","2","2","-0.013","0.46","0.000","-0.013","-0.3","0","0",""
"Anthony Gose  PH","0","0","0","0","1","0","1",".236",".335",".293",".628","6","2","0.008","0.28","0.008","0.000","0.2","","",""
"Munenori Kawasaki  2B","3","0","0","0","1","1","4",".263",".312",".300",".612","17","9","-0.027","0.84","0.015","-0.042","-0.6","1","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"J.A. Happ  P","","","","","","","","","","","","","","","","","","","0","0",""
"Aaron Loup  P","","","","","","","","","","","","","","","","","","","0","0",""
