"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alejandro De Aza  LF","4","1","1","0","1","2","5",".222",".300",".556",".856","25","12","0.067","0.66","0.090","-0.023","0.5","2","0",""
"Steve Pearce  1B","4","2","2","2","0","0","4",".429",".500","1.286","1.786","19","11","0.114","1.01","0.141","-0.027","2.0","5","1","HR"
"Travis Snider  RF","1","1","1","1","3","0","4",".800",".875","1.000","1.875","18","6","0.161","1.10","0.161","0.000","2.1","1","0",""
"Adam Jones  CF","4","1","1","2","0","0","4",".143",".250",".286",".536","12","10","-0.065","1.11","0.116","-0.181","-0.7","5","0","2B,2·GDP"
"Chris Davis  DH","3","0","0","0","0","1","4",".000",".250",".000",".250","18","12","-0.035","0.54","0.015","-0.051","-0.5","","","HBP"
"Manny Machado  3B","3","0","0","1","0","0","4",".000",".125",".000",".125","9","6","-0.035","0.56","0.017","-0.052","-0.9","0","1","SF,GDP"
"Ryan Flaherty  2B-SS","3","0","0","0","1","0","4",".143",".250",".571",".821","13","7","-0.013","0.22","0.006","-0.018","-0.2","1","2",""
"Caleb Joseph  C","3","1","0","0","1","1","4",".143",".250",".286",".536","19","10","-0.017","0.41","0.015","-0.032","-0.3","11","0",""
"Everth Cabrera  SS","4","0","1","0","0","1","4",".250",".250",".250",".500","18","12","0.007","0.55","0.036","-0.029","-0.3","1","2",""
"Jonathan Schoop  2B","0","0","0","0","0","0","0",".250",".250",".250",".500","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Wei-Yin Chen  P","","","","","","","","","","","","","","","","","","","1","1",""
"Kevin Gausman  P","","","","","","","","","","","","","","","","","","","0","0",""
"Darren O'Day  P","","","","","","","","","","","","","","","","","","","0","0",""
"Zach Britton  P","","","","","","","","","","","","","","","","","","","0","0",""
