"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Manny Machado  3B","4","0","0","0","0","1","4",".289",".355",".496",".851","17","12","-0.079","0.76","0.000","-0.079","-0.9","1","2",""
"Steve Pearce  LF","4","0","0","0","0","1","4",".227",".294",".404",".698","12","7","-0.064","0.62","0.000","-0.064","-0.9","1","0",""
"Adam Jones  CF","4","0","1","0","0","2","4",".279",".317",".493",".810","16","11","-0.010","0.41","0.022","-0.031","-0.3","3","0","2B"
"Chris Davis  1B","4","0","1","0","0","2","4",".251",".336",".524",".860","22","13","-0.029","0.45","0.012","-0.041","-0.4","8","1",""
"Matt Wieters  C","3","0","0","0","0","1","3",".262",".291",".405",".696","9","6","-0.060","0.75","0.000","-0.060","-0.7","6","1",""
"Caleb Joseph  DH","2","0","0","0","0","1","3",".246",".311",".430",".741","7","6","0.014","0.64","0.040","-0.025","0.1","","","HBP"
"Jonathan Schoop  2B","3","0","0","0","0","1","3",".287",".316",".492",".808","12","9","-0.052","0.72","0.000","-0.052","-0.6","0","4",""
"Dariel Alvarez  RF","3","0","1","0","0","1","3",".333",".400",".444",".844","10","8","0.003","0.89","0.041","-0.038","-0.1","2","0",""
"Paul Janish  SS","3","0","0","0","0","1","3",".308",".286",".385",".670","11","7","-0.073","1.03","0.000","-0.073","-0.8","2","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Miguel Gonzalez  P","","","","","","","","","","","","","","","","","","","1","0",""
"Jason Garcia  P","","","","","","","","","","","","","","","","","","","0","0",""
"T.J. McFarland  P","","","","","","","","","","","","","","","","","","","0","0",""
"Zach Britton  P","","","","","","","","","","","","","","","","","","","0","0",""
