"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Mookie Betts  CF","5","0","0","0","0","0","5",".266",".316",".437",".754","15","9","-0.079","0.61","0.000","-0.079","-1.3","2","0",""
"Brock Holt  2B","3","2","2","1","2","1","5",".276",".352",".373",".724","21","11","0.120","0.46","0.128","-0.008","1.5","0","2",""
"Xander Bogaerts  SS","5","1","2","1","0","2","5",".314",".341",".409",".749","26","16","0.154","0.64","0.204","-0.050","0.3","3","2","2B,GDP"
"David Ortiz  1B","3","2","3","3","1","0","4",".255",".346",".503",".849","16","8","0.220","1.03","0.220","0.000","4.0","8","1","2·HR,IW"
"Travis Shaw  1B","1","0","0","0","0","1","1",".289",".333",".474",".807","3","3","0.000","0.00","0.000","0.000","-0.4","0","0",""
"Rusney Castillo  RF","4","0","1","0","0","1","4",".268",".301",".354",".655","18","11","-0.108","1.34","0.038","-0.147","-0.8","2","0","GDP"
"Pablo Sandoval  3B","2","0","0","0","2","1","4",".253",".304",".376",".680","19","7","-0.010","0.84","0.067","-0.078","-0.5","0","2","GDP"
"Blake Swihart  C","4","0","1","0","0","2","4",".243",".275",".324",".599","21","13","-0.062","0.88","0.013","-0.075","-0.6","8","2",""
"Jackie Bradley  LF","4","1","1","0","0","2","4",".174",".289",".319",".608","18","11","-0.016","0.94","0.049","-0.065","-0.2","0","0",""
"Eduardo Rodriguez  P","2","0","0","0","0","2","3",".000",".000",".000",".000","17","11","-0.080","1.35","0.000","-0.080","-0.6","1","1","SH"
"Ryan Cook  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Robbie Ross  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Tommy Layne  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Alejandro De Aza  PH","1","0","1","0","0","0","1",".268",".322",".439",".761","11","8","0.001","0.01","0.001","0.000","0.6","","","2B"
