"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Adam Eaton  CF","5","0","1","0","0","2","5",".264",".341",".407",".748","18","12","-0.059","1.13","0.032","-0.092","-0.5","1","0",""
"Melky Cabrera  LF","4","1","2","1","0","0","4",".271",".312",".384",".697","20","15","0.147","1.47","0.174","-0.027","0.9","0","0",""
"Jose Abreu  1B","4","1","1","0","0","1","4",".295",".353",".517",".870","18","12","-0.149","1.73","0.050","-0.199","-0.9","10","0","GDP"
"Avisail Garcia  DH","3","1","1","0","1","0","4",".269",".320",".384",".704","12","5","0.089","1.74","0.145","-0.057","0.6","","",""
"Trayce Thompson  RF","4","0","3","3","0","0","4",".522",".560",".957","1.517","11","6","0.578","1.89","0.601","-0.023","3.0","1","0","3B,2B"
"Alexei Ramirez  SS","4","1","1","0","0","0","4",".240",".269",".348",".617","8","5","-0.151","1.34","0.019","-0.170","-1.5","1","0",""
"Geovany Soto  C","4","0","2","0","0","1","4",".255",".343",".470",".813","16","10","-0.004","1.23","0.061","-0.065","-0.2","11","2",""
"Carlos Sanchez  2B","4","0","2","1","0","0","4",".239",".275",".343",".618","11","9","-0.036","1.72","0.089","-0.125","-0.1","3","6",""
"Gordon Beckham  3B","4","1","2","0","0","0","4",".195",".254",".303",".556","11","7","0.027","1.31","0.098","-0.072","-0.1","0","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jose Quintana  P","","","","","","","","","","","","","","","","","","","0","2",""
"Jake Petricka  P","","","","","","","","","","","","","","","","","","","0","0",""
"Zach Duke  P","","","","","","","","","","","","","","","","","","","0","0",""
"David Robertson  P","","","","","","","","","","","","","","","","","","","0","0",""
