"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Adam Eaton  CF","3","0","0","0","0","2","4",".248",".312",".386",".698","20","12","-0.110","1.54","0.000","-0.110","-1.0","1","0","SH"
"Tyler Saladino  3B","3","0","0","0","0","0","3",".000",".000",".000",".000","14","10","-0.075","1.01","0.000","-0.075","-0.6","2","1",""
"J.B. Shuck  PH","0","0","0","1","0","0","1",".284",".345",".324",".670","5","3","0.093","3.44","0.093","0.000","0.2","","","SF"
"Gordon Beckham  3B","0","0","0","0","0","0","0",".195",".260",".314",".574","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jose Abreu  1B","3","0","1","0","0","0","4",".297",".344",".495",".839","14","11","0.046","0.64","0.067","-0.021","0.3","4","0","HBP"
"Zach Duke  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"David Robertson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Melky Cabrera  LF","4","0","1","0","0","2","4",".263",".304",".343",".647","13","10","-0.070","1.19","0.044","-0.114","-0.6","0","0","GDP"
"Avisail Garcia  RF","4","0","0","0","0","0","4",".276",".322",".385",".708","8","5","-0.118","1.26","0.000","-0.118","-1.0","1","1",""
"Alexei Ramirez  SS","4","0","0","0","0","0","4",".226",".252",".295",".547","10","7","-0.098","0.98","0.000","-0.098","-0.8","3","4",""
"Tyler Flowers  C","3","0","1","0","0","1","3",".229",".277",".380",".657","12","9","-0.033","0.98","0.021","-0.054","-0.3","12","2",""
"Carlos Sanchez  2B","3","0","2","0","0","0","3",".179",".218",".231",".449","11","7","0.020","1.01","0.061","-0.040","0.3","4","2",""
"Carlos Rodon  P","0","0","0","0","0","0","2",".000",".000",".000",".000","3","3","-0.042","1.47","0.000","-0.042","-0.4","0","0","2·SH"
"Jake Petricka  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Emilio Bonifacio  PH","0","1","0","0","0","0","1",".151",".184",".164",".349","3","1","0.135","2.35","0.135","0.000","0.6","","","SB,HBP"
"Adam LaRoche  1B","0","0","0","0","0","0","0",".226",".331",".380",".711","","","0.000","0.00","0.000","0.000","0.0","0","0",""
