"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Adam Eaton  CF","4","1","2","1","0","0","5",".251",".317",".383",".701","24","15","0.101","0.93","0.155","-0.055","1.4","4","0","HBP"
"Jose Abreu  1B","5","0","1","1","0","2","5",".291",".342",".488",".830","19","15","-0.090","0.74","0.007","-0.097","0.2","6","0",""
"Scott Carroll  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Melky Cabrera  LF","5","1","1","2","0","0","5",".251",".294",".318",".612","21","13","0.110","0.74","0.170","-0.060","0.5","3","0","HR"
"Avisail Garcia  RF","4","0","2","0","1","1","5",".273",".322",".391",".714","19","13","0.061","0.87","0.123","-0.063","0.4","1","0","SB"
"Conor Gillaspie  3B","3","0","0","0","0","0","3",".245",".282",".377",".660","8","7","-0.070","1.21","0.000","-0.070","-0.6","0","1",""
"Gordon Beckham  PH-3B","2","0","0","0","0","2","2",".207",".272",".331",".603","10","7","-0.012","0.23","0.000","-0.012","-0.4","0","0",""
"Alexei Ramirez  SS","3","1","2","0","1","0","4",".217",".242",".288",".531","11","7","0.044","0.91","0.073","-0.029","0.6","2","2","2B"
"Tyler Flowers  C","4","2","2","2","0","1","4",".224",".273",".391",".665","17","11","-0.007","1.41","0.155","-0.163","0.5","9","1","HR,GDP"
"Carlos Sanchez  2B","4","1","2","0","0","0","4",".176",".216",".237",".452","12","8","0.004","1.06","0.053","-0.049","0.6","2","2","2B"
"Jose Quintana  P","2","0","0","0","0","2","2",".000",".000",".000",".000","6","6","-0.090","1.79","0.000","-0.090","-0.7","0","1",""
"Emilio Bonifacio  PH","1","0","0","0","0","0","1",".153",".176",".167",".342","1","1","-0.017","0.69","0.000","-0.017","-0.2","","",""
"Zach Putnam  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Zach Duke  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jake Petricka  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Adam LaRoche  PH-1B","0","1","0","0","0","0","1",".233",".343",".400",".743","5","3","0.002","0.07","0.002","0.000","0.4","0","0","HBP"
