"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Michael Bourn  CF","4","1","0","0","1","1","5",".193",".270",".228",".498","19","9","0.010","0.37","0.039","-0.029","-0.1","1","0",""
"Jason Kipnis  2B","5","1","2","0","0","0","5",".238",".254",".270",".524","13","12","0.061","0.52","0.076","-0.016","0.7","1","3",""
"Michael Brantley  LF","4","2","3","1","0","0","4",".286",".324",".343",".667","11","8","0.048","0.71","0.059","-0.012","1.3","1","0",""
"Mike Aviles  LF","1","0","0","0","0","0","1",".259",".355",".407",".762","5","3","0.000","0.00","0.000","0.000","-0.2","1","0",""
"Carlos Santana  1B","3","3","1","2","2","0","5",".222",".354",".426",".780","18","7","0.039","0.53","0.067","-0.027","1.0","6","0","2B,GDP"
"Brandon Moss  RF","5","2","3","7","0","1","5",".214",".327",".524",".850","8","7","0.182","0.56","0.208","-0.026","4.7","3","0","2·HR,2B"
"Jerry Sands  RF","0","0","0","0","0","0","0",".381",".435",".476",".911","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"David Murphy  DH","5","1","2","0","0","0","5",".258",".303",".419",".722","19","15","0.001","0.32","0.027","-0.026","0.3","","","2B"
"Lonnie Chisenhall  3B","5","2","2","2","0","0","5",".204",".245",".306",".551","21","14","0.022","0.36","0.048","-0.026","1.4","0","0","HR,2B"
"Roberto Perez  C","3","0","0","0","0","1","4",".188",".250",".375",".625","13","9","-0.048","0.46","0.000","-0.048","-1.0","12","1","SH,GDP"
"Jose Ramirez  SS","3","1","2","1","0","0","4",".204",".245",".286",".531","13","7","0.047","0.45","0.047","-0.001","0.6","1","1","SF"
"","","","","","","","","","","","","","","","","","","","","",""
"Danny Salazar  P","","","","","","","","","","","","","","","","","","","0","1",""
"Scott Atchison  P","","","","","","","","","","","","","","","","","","","0","0",""
"Anthony Swarzak  P","","","","","","","","","","","","","","","","","","","0","0",""
