"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jason Kipnis  2B","3","1","1","0","1","0","5",".340",".406",".507",".913","18","9","0.110","0.88","0.150","-0.040","1.1","2","1","HBP"
"David Murphy  LF","4","0","2","0","1","1","5",".315",".346",".479",".826","13","8","0.138","1.07","0.166","-0.029","0.9","4","0",""
"Michael Brantley  DH","3","0","1","1","1","1","4",".348",".429",".565",".994","16","7","0.146","1.67","0.224","-0.078","1.1","","","2B"
"Lonnie Chisenhall  3B","4","0","0","0","0","1","4",".228",".265",".374",".639","16","12","-0.217","1.54","0.000","-0.217","-2.0","0","1",""
"Brandon Moss  1B","4","0","0","0","0","2","4",".229",".282",".424",".706","17","11","-0.242","1.75","0.000","-0.242","-2.1","2","2",""
"Nick Swisher  RF","3","0","0","0","1","1","4",".237",".293",".316",".608","18","9","-0.044","1.34","0.020","-0.064","-0.5","0","0","IW"
"Michael Bourn  CF","4","0","1","0","0","1","4",".233",".315",".302",".617","15","9","-0.147","1.40","0.026","-0.173","-1.2","3","0","CS"
"Roberto Perez  C","2","0","1","0","1","1","3",".164",".301",".313",".615","12","7","-0.010","0.77","0.028","-0.037","0.0","9","1",""
"Zach Walters  PH","1","0","0","0","0","1","1",".077",".077",".077",".154","6","3","-0.009","0.35","0.000","-0.009","-0.2","","",""
"Jose Ramirez  SS","4","0","0","0","0","0","4",".168",".220",".228",".448","22","16","-0.081","0.74","0.000","-0.081","-0.8","2","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Carlos Carrasco  P","","","","","","","","","","","","","","","","","","","2","0",""
