"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Ian Kinsler  2B","5","0","3","1","0","0","5",".289",".348",".412",".761","14","10","0.082","1.88","0.254","-0.173","0.4","2","2","3B,SB,CS"
"Yoenis Cespedes  LF","4","0","0","0","1","2","5",".288",".320",".483",".803","29","17","-0.135","1.85","0.023","-0.158","-0.8","5","0",""
"Victor Martinez  DH","5","0","0","0","0","2","5",".261",".325",".391",".715","29","19","-0.225","1.83","0.000","-0.225","-1.3","","",""
"J.D. Martinez  RF","4","0","2","0","0","1","4",".283",".343",".553",".895","20","14","0.011","1.32","0.096","-0.085","0.5","3","0",""
"Nick Castellanos  3B","4","0","0","0","0","1","4",".242",".292",".379",".671","13","7","-0.189","1.44","0.000","-0.189","-1.4","2","1","GDP"
"Alex Avila  C","4","0","1","0","0","2","4",".198",".341",".292",".634","21","14","-0.088","1.23","0.022","-0.110","-0.6","5","0",""
"Marc Krauss  1B","4","0","0","0","0","1","4",".141",".173",".256",".429","18","11","-0.152","1.42","0.000","-0.152","-1.0","8","1",""
"Jose Iglesias  SS","4","1","1","0","0","0","4",".324",".371",".406",".777","19","11","-0.037","1.27","0.067","-0.104","0.1","2","4","2B"
"Anthony Gose  CF","4","0","0","0","0","2","4",".274",".318",".380",".698","12","10","-0.126","1.42","0.000","-0.126","-0.7","2","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Verlander  P","","","","","","","","","","","","","","","","","","","1","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","1","1",""
"Bruce Rondon  P","","","","","","","","","","","","","","","","","","","0","0",""
"Blaine Hardy  P","","","","","","","","","","","","","","","","","","","0","1",""
