"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Anthony Gose  CF","6","1","1","0","0","1","6",".284",".324",".383",".707","24","17","-0.219","1.71","0.035","-0.254","-0.9","3","0",""
"Ian Kinsler  2B","5","1","1","0","1","2","6",".271",".343",".357",".700","26","16","-0.061","1.43","0.095","-0.157","-0.0","3","5","2B"
"Joakim Soria  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Miguel Cabrera  1B","5","1","1","3","1","1","6",".342",".446",".598","1.045","23","15","0.333","1.47","0.440","-0.106","1.9","12","0","HR"
"Yoenis Cespedes  LF","6","0","0","0","0","2","6",".302",".335",".492",".827","23","16","-0.219","1.48","0.000","-0.219","-1.1","1","0",""
"J.D. Martinez  RF","4","0","0","0","0","2","5",".265",".327",".478",".805","20","16","-0.056","1.30","0.049","-0.104","-0.5","2","1","HBP"
"Nick Castellanos  3B","3","0","0","0","0","0","3",".221",".268",".333",".601","9","6","-0.072","0.98","0.000","-0.072","-0.5","1","0",""
"Andrew Romine  3B","2","0","0","0","0","2","2",".283",".340",".283",".623","14","9","-0.142","2.83","0.000","-0.142","-0.5","0","2",""
"James McCann  C","4","0","0","0","1","1","5",".252",".288",".377",".665","20","11","-0.135","1.31","0.016","-0.151","-0.6","14","1",""
"Jose Iglesias  SS","5","0","1","0","0","0","5",".333",".383",".403",".786","27","20","0.002","1.54","0.116","-0.114","-0.3","2","2","SB"
"David Price  P","2","0","0","0","0","1","2",".000",".000",".000",".000","7","5","-0.048","0.96","0.000","-0.048","-0.4","0","1",""
"Alex Wilson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Tyler Collins  PH","1","1","1","1","0","0","1",".275",".315",".490",".805","1","1","0.258","1.83","0.258","0.000","1.0","","","HR"
"Joba Chamberlain  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Blaine Hardy  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Rajai Davis  PH","1","0","1","0","0","0","1",".277",".340",".440",".779","7","4","0.068","1.26","0.068","0.000","0.2","","","2B"
"Al Alburquerque  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Bryan Holaday  PH","1","0","0","0","0","1","1",".259",".259",".481",".741","7","4","-0.090","3.26","0.000","-0.090","-0.3","","",""
"Ian Krol  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Josh Wilson  2B","0","0","0","0","0","0","0",".429",".429",".500",".929","","","0.000","0.00","0.000","0.000","0.0","0","0",""
