"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Anthony Gose  CF","4","1","1","0","1","2","5",".259",".319",".379",".698","34","21","-0.124","1.61","0.060","-0.184","-0.7","0","0","2B"
"Ian Kinsler  2B","5","0","2","1","0","0","5",".303",".353",".443",".795","13","8","-0.002","0.84","0.072","-0.074","0.3","2","2",""
"Miguel Cabrera  1B","4","0","0","0","1","0","5",".346",".447",".557","1.003","21","10","-0.082","0.69","0.024","-0.106","-1.2","5","0","GDP"
"J.D. Martinez  RF","4","1","2","0","0","1","4",".282",".343",".547",".890","12","10","0.049","0.82","0.091","-0.042","0.3","0","0","2B"
"Victor Martinez  DH","4","0","0","0","0","0","4",".233",".290",".349",".638","21","16","-0.087","0.97","0.000","-0.087","-0.9","","",""
"Nick Castellanos  3B","3","0","0","1","0","1","4",".246",".299",".414",".713","11","7","-0.046","0.93","0.006","-0.052","-0.5","1","1","SF"
"Steven Moya  LF","3","0","2","0","1","1","4",".500",".600","1.000","1.600","16","10","0.113","0.52","0.116","-0.003","1.0","4","1","3B"
"James McCann  C","3","0","1","0","1","0","4",".271",".308",".401",".708","14","8","-0.001","1.01","0.065","-0.066","-0.2","7","1",""
"Dixon Machado  SS","3","0","0","0","1","2","4",".192",".250",".231",".481","21","12","-0.033","1.50","0.049","-0.082","-0.7","4","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"Justin Verlander  P","","","","","","","","","","","","","","","","","","","1","0",""
"Tom Gorzelanny  P","","","","","","","","","","","","","","","","","","","0","0",""
"Al Alburquerque  P","","","","","","","","","","","","","","","","","","","0","0",""
"Ian Krol  P","","","","","","","","","","","","","","","","","","","0","0",""
