"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Rajai Davis  CF","4","1","1","0","1","1","5",".276",".368",".434",".802","24","16","0.039","1.10","0.134","-0.095","0.6","1","1","3B"
"Ian Kinsler  2B","5","1","3","1","0","0","5",".311",".377",".405",".783","20","14","0.082","1.04","0.140","-0.058","1.0","1","2","2B,SB"
"Miguel Cabrera  1B","5","1","1","1","0","2","5",".333",".435",".600","1.035","25","18","-0.066","1.27","0.106","-0.172","-0.5","10","2","HR,GDP"
"J.D. Martinez  RF","3","1","1","0","2","0","5",".252",".327",".481",".808","25","12","0.053","1.34","0.114","-0.061","0.3","2","0",""
"Yoenis Cespedes  LF","5","0","3","1","0","1","5",".290",".307",".497",".804","17","14","0.159","1.60","0.236","-0.077","1.0","0","0","CS"
"Nick Castellanos  3B","5","0","2","0","0","1","5",".246",".301",".392",".693","17","12","-0.150","1.82","0.051","-0.201","-0.8","1","3",""
"Andrew Romine  3B","0","0","0","0","0","0","0",".346",".414",".346",".760","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"James McCann  C","4","0","1","0","1","1","5",".279",".310",".397",".707","19","13","-0.118","2.12","0.042","-0.160","-0.5","13","0",""
"Jose Iglesias  SS","5","0","1","1","0","0","5",".350",".407",".456",".863","22","15","0.161","2.41","0.337","-0.176","-0.7","1","2",""
"David Price  P","3","0","0","0","0","2","3",".000",".000",".000",".000","11","10","-0.069","0.89","0.000","-0.069","-0.7","1","1",""
"Angel Nesbitt  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Hernan Perez  PH","1","0","0","0","0","1","1",".087",".087",".087",".174","7","6","-0.024","0.96","0.000","-0.024","-0.1","","",""
"Joba Chamberlain  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Blaine Hardy  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Anthony Gose  PH","1","0","0","0","0","1","1",".354",".396",".515",".911","6","4","-0.030","1.19","0.000","-0.030","-0.4","","",""
"Joakim Soria  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
