"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jake Marisnick  CF","3","0","0","0","1","2","4",".319",".364",".516",".880","15","11","-0.037","0.97","0.036","-0.074","-0.2","0","0",""
"Jose Altuve  2B","4","0","0","0","0","0","4",".338",".390",".489",".879","15","11","-0.092","1.00","0.010","-0.102","-0.8","0","2",""
"Luis Valbuena  3B","3","1","0","0","1","1","4",".202",".270",".421",".691","16","8","-0.018","0.82","0.041","-0.058","-0.1","0","4",""
"Chris Carter  1B","3","0","0","0","1","2","4",".151",".256",".302",".558","22","13","-0.007","1.18","0.072","-0.079","-0.0","10","1",""
"Colby Rasmus  RF","4","0","0","0","0","2","4",".239",".314",".511",".825","19","12","-0.139","1.41","0.000","-0.139","-1.1","2","0",""
"Jason Castro  C","4","0","1","0","0","1","4",".220",".293",".354",".647","13","9","0.031","1.03","0.078","-0.047","0.3","6","1",""
"Marwin Gonzalez  SS","3","0","0","0","0","1","3",".242",".254",".394",".648","10","8","-0.111","1.55","0.000","-0.111","-1.0","3","2",""
"Preston Tucker  DH","1","0","0","1","1","1","3",".100",".357",".100",".457","13","5","0.102","1.71","0.126","-0.025","1.2","","","HBP"
"Robbie Grossman  LF","2","0","0","0","0","1","2",".152",".235",".261",".496","8","5","-0.053","1.17","0.000","-0.053","-0.5","1","0",""
"Evan Gattis  PH","1","0","0","0","0","0","1",".183",".211",".394",".605","1","1","-0.116","4.70","0.000","-0.116","-0.7","","",""
"Jonathan Villar  LF","0","0","0","0","0","0","0",".182",".250",".182",".432","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Scott Feldman  P","","","","","","","","","","","","","","","","","","","1","1",""
"Josh Fields  P","","","","","","","","","","","","","","","","","","","0","0",""
