"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","5","1","1","1","0","0","5",".310",".351",".448",".799","13","10","0.073","0.99","0.149","-0.076","0.3","0","3","2B"
"George Springer  RF","5","0","2","0","0","0","5",".270",".361",".447",".808","19","15","0.047","0.76","0.089","-0.042","0.4","3","0",""
"Carlos Correa  SS","5","0","1","1","0","2","5",".277",".343",".504",".847","15","13","0.033","1.27","0.128","-0.095","0.2","3","2",""
"Evan Gattis  DH","4","0","2","0","0","2","4",".246",".284",".464",".748","12","8","0.081","1.28","0.177","-0.097","0.2","","","3B"
"Jonathan Villar  PR","1","1","0","0","0","0","1",".281",".336",".404",".740","4","2","-0.011","0.45","0.000","-0.011","-0.1","","",""
"Colby Rasmus  LF","4","0","2","1","0","2","4",".232",".307",".453",".760","16","9","0.051","1.74","0.138","-0.087","0.0","0","0",""
"Marwin Gonzalez  1B","1","0","0","0","0","1","1",".274",".312",".438",".750","6","3","-0.008","0.31","0.000","-0.008","-0.1","1","0",""
"Carlos Gomez  CF","4","1","2","0","0","1","4",".255",".314",".409",".724","9","9","0.053","1.40","0.139","-0.086","0.6","4","1","2·SB,GDP"
"Luis Valbuena  3B","3","2","2","1","1","1","4",".219",".306",".426",".732","20","10","0.133","1.37","0.205","-0.071","1.0","1","1","HR,2B"
"Chris Carter  1B","3","1","1","3","1","1","4",".196",".307",".426",".733","15","9","0.201","2.00","0.322","-0.122","1.3","4","1","HR"
"Jake Marisnick  LF","0","0","0","0","0","0","0",".234",".281",".381",".662","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Castro  C","4","1","1","0","0","2","4",".212",".282",".371",".653","23","14","-0.103","1.33","0.000","-0.103","-0.8","9","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Scott Kazmir  P","","","","","","","","","","","","","","","","","","","2","0",""
"Josh Fields  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
"Will Harris  P","","","","","","","","","","","","","","","","","","","0","0",""
"Oliver Perez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Luke Gregerson  P","","","","","","","","","","","","","","","","","","","0","0",""
