"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Jose Altuve  2B","4","0","0","0","0","0","4",".294",".337",".406",".743","9","6","-0.107","0.96","0.000","-0.107","-1.1","2","5",""
"Preston Tucker  RF","4","0","1","0","0","1","4",".258",".320",".421",".741","19","13","-0.021","0.80","0.038","-0.059","-0.2","0","0",""
"Carlos Correa  SS","3","0","1","0","1","0","4",".275",".307",".504",".810","15","7","0.065","0.75","0.088","-0.023","0.6","0","7",""
"Colby Rasmus  CF-LF","4","0","0","0","0","2","4",".240",".306",".466",".772","23","16","-0.116","1.14","0.000","-0.116","-1.2","0","0",""
"Evan Gattis  DH","4","0","0","0","0","0","4",".241",".268",".447",".715","16","9","-0.095","1.03","0.000","-0.095","-1.0","","",""
"Luis Valbuena  3B","3","0","0","0","1","0","4",".199",".285",".430",".715","20","11","-0.013","0.83","0.030","-0.043","-0.2","0","1",""
"Hank Conger  C","2","0","0","0","2","1","4",".232",".339",".434",".773","15","6","-0.061","0.99","0.035","-0.096","-0.5","5","0",""
"Jon Singleton  1B","1","0","0","0","1","0","2",".120",".241",".160",".401","7","2","0.002","0.72","0.024","-0.022","0.0","11","0",""
"Chris Carter  PH-1B","2","0","0","0","0","1","2",".187",".304",".385",".689","7","6","-0.041","0.81","0.000","-0.041","-0.6","4","0",""
"Alex Presley  LF","2","0","0","0","0","1","2",".250",".308",".250",".558","10","8","-0.040","0.84","0.000","-0.040","-0.4","1","0",""
"Marwin Gonzalez  PH","1","0","1","0","0","0","1",".253",".276",".416",".691","2","1","0.038","0.68","0.038","0.000","0.4","","","2B"
"Jake Marisnick  PR-CF","0","0","0","0","0","0","0",".241",".277",".377",".654","","","0.000","0.00","0.000","0.000","0.0","1","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Dallas Keuchel  P","","","","","","","","","","","","","","","","","","","0","3",""
"Will Harris  P","","","","","","","","","","","","","","","","","","","0","0",""
"Tony Sipp  P","","","","","","","","","","","","","","","","","","","0","0",""
