"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alcides Escobar  SS","5","0","1","0","0","1","5",".400",".455",".500",".955","11","8","-0.033","0.49","0.014","-0.047","-0.4","2","2",""
"Mike Moustakas  3B","4","1","2","1","1","1","5",".353",".500",".765","1.265","20","12","0.141","0.77","0.178","-0.036","1.1","0","6","HR,SB"
"Lorenzo Cain  CF","4","1","1","0","1","2","5",".400",".500",".650","1.150","25","14","-0.070","0.87","0.052","-0.121","-0.8","3","0","CS"
"Eric Hosmer  1B","3","1","1","0","1","1","5",".318",".375",".455",".830","21","11","0.011","0.56","0.061","-0.051","0.4","12","0","CS,HBP"
"Kendrys Morales  DH","4","1","3","1","1","0","5",".400",".500",".700","1.200","11","7","0.173","0.77","0.183","-0.010","2.0","","","2B"
"Alex Gordon  LF","4","0","0","0","0","2","5",".077",".333",".077",".410","16","11","-0.149","1.01","0.012","-0.162","-2.1","3","0","HBP"
"Alex Rios  RF","4","1","1","2","0","1","4",".300",".300",".450",".750","14","9","0.125","1.36","0.221","-0.096","0.6","2","0","GDP"
"Salvador Perez  C","4","1","2","2","0","0","4",".421",".450",".789","1.239","12","8","0.124","0.71","0.160","-0.037","1.6","3","0","HR"
"Omar Infante  2B","4","0","1","0","0","0","4",".158",".158",".158",".316","14","8","-0.041","0.49","0.004","-0.045","-0.4","2","1",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Guthrie  P","","","","","","","","","","","","","","","","","","","0","1",""
"Wade Davis  P","","","","","","","","","","","","","","","","","","","0","0",""
"Greg Holland  P","","","","","","","","","","","","","","","","","","","0","1",""
