"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alcides Escobar  SS","5","0","0","0","0","1","5",".276",".310",".374",".685","16","13","-0.193","1.53","0.000","-0.193","-1.2","2","3",""
"Omar Infante  2B","5","0","0","0","0","1","5",".231",".241",".327",".568","23","16","-0.153","1.23","0.000","-0.153","-0.9","2","3",""
"Lorenzo Cain  CF","4","1","0","0","1","2","5",".297",".353",".413",".765","21","14","-0.084","0.96","0.018","-0.103","-0.4","1","1",""
"Kendrys Morales  1B","3","0","0","0","2","2","5",".304",".368",".484",".851","32","19","-0.039","1.30","0.059","-0.098","-0.3","8","2",""
"Alex Gordon  LF","4","0","3","1","1","0","5",".273",".376",".461",".837","26","12","0.262","1.54","0.304","-0.042","1.6","3","1","2B"
"Salvador Perez  C","5","0","0","0","0","2","5",".281",".291",".439",".730","21","14","-0.269","2.06","0.000","-0.269","-1.5","11","0",""
"Alex Rios  RF","4","0","0","0","0","0","4",".281",".303",".406",".709","13","10","-0.148","1.46","0.000","-0.148","-1.0","2","0",""
"Christian Colon  3B","3","0","1","0","0","1","3",".286",".348",".333",".681","15","11","0.004","0.84","0.041","-0.037","0.1","1","0",""
"Mike Moustakas  3B","1","0","0","0","0","0","1",".320",".375",".480",".855","7","5","-0.042","1.73","0.000","-0.042","-0.1","0","2",""
"Yordano Ventura  P","3","0","0","0","0","2","3",".000",".000",".000",".000","11","10","-0.064","0.90","0.000","-0.064","-0.5","1","0",""
"Kelvin Herrera  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Wade Davis  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","1",""
"Eric Hosmer  PH","0","0","0","0","1","0","1",".302",".379",".505",".884","7","3","0.030","1.26","0.030","0.000","0.1","","",""
"Ryan Madson  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
"Jason Frasor  P","0","0","0","0","0","0","0","","","","","","","0.000","0.00","0.000","0.000","0.0","0","0",""
