"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alcides Escobar  SS","4","0","3","0","0","0","4",".412",".432",".500",".932","13","10","0.078","0.74","0.090","-0.012","0.7","2","0",""
"Mike Moustakas  3B","4","1","2","0","0","1","4",".379",".500",".621","1.121","9","7","0.001","1.54","0.101","-0.100","0.3","0","2",""
"Lorenzo Cain  CF","4","0","1","0","0","1","4",".387",".474",".581","1.054","25","15","-0.129","1.61","0.053","-0.182","-1.3","4","0","GDP"
"Eric Hosmer  1B","4","0","0","0","0","0","4",".257",".289",".371",".661","10","7","-0.133","1.48","0.000","-0.133","-1.1","6","1",""
"Kendrys Morales  DH","3","0","0","0","0","1","4",".375",".474",".656","1.130","16","9","-0.054","1.14","0.014","-0.067","-0.4","","","HBP"
"Alex Gordon  LF","4","0","2","1","0","1","4",".150",".370",".150",".520","14","7","0.082","1.43","0.160","-0.079","0.8","1","0",""
"Salvador Perez  C","4","0","0","0","0","0","4",".364",".382",".667","1.049","13","8","-0.174","1.44","0.000","-0.174","-1.4","7","1","GDP"
"Omar Infante  2B","4","0","1","0","0","0","4",".188",".188",".250",".438","22","15","-0.027","0.88","0.040","-0.067","-0.3","0","4",""
"Jarrod Dyson  RF","3","0","0","0","0","1","3",".250",".250",".250",".500","12","8","-0.081","1.11","0.000","-0.081","-0.6","3","0",""
"","","","","","","","","","","","","","","","","","","","","",""
"Edinson Volquez  P","","","","","","","","","","","","","","","","","","","1","1",""
"Franklin Morales  P","","","","","","","","","","","","","","","","","","","0","0",""
