"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Alcides Escobar  SS","4","0","1","0","0","1","4",".279",".317",".369",".686","16","10","-0.017","0.75","0.036","-0.054","-0.3","1","3",""
"Mike Moustakas  3B","4","0","1","0","0","1","4",".327",".379",".468",".846","15","11","0.063","0.68","0.093","-0.031","0.4","1","1",""
"Lorenzo Cain  CF","3","0","0","0","0","2","4",".290",".346",".440",".786","13","10","0.018","0.64","0.039","-0.021","-0.0","3","0","HBP"
"Eric Hosmer  1B","4","0","0","0","0","2","4",".289",".357",".453",".810","10","9","-0.081","0.70","0.000","-0.081","-1.1","5","1",""
"Kendrys Morales  DH","4","0","1","0","0","0","4",".289",".348",".458",".806","11","8","-0.178","0.98","0.000","-0.178","-1.8","","","GDP"
"Alex Gordon  LF","4","0","1","0","0","2","4",".269",".385",".439",".824","12","9","0.017","0.45","0.038","-0.021","-0.1","2","0",""
"Salvador Perez  C","3","0","1","0","0","0","3",".280",".291",".464",".755","9","5","0.049","0.71","0.061","-0.013","0.6","6","0",""
"Alex Rios  RF","3","0","0","0","0","1","3",".220",".248",".280",".528","12","9","-0.081","1.02","0.000","-0.081","-1.0","2","0",""
"Omar Infante  2B","3","0","0","0","0","1","3",".227",".234",".307",".540","7","6","-0.063","0.93","0.000","-0.063","-0.8","3","2",""
"","","","","","","","","","","","","","","","","","","","","",""
"Jeremy Guthrie  P","","","","","","","","","","","","","","","","","","","1","0",""
"Luke Hochevar  P","","","","","","","","","","","","","","","","","","","0","0",""
"Michael Mariot  P","","","","","","","","","","","","","","","","","","","0","0",""
