"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Johnny Giavotella  2B","3","0","0","0","1","0","4",".268",".321",".359",".680","18","13","-0.005","0.63","0.036","-0.041","-0.1","1","2",""
"Kole Calhoun  RF","4","0","1","0","0","0","4",".268",".321",".412",".733","11","8","0.031","0.63","0.056","-0.025","0.3","1","0",""
"Mike Trout  CF","3","0","1","0","1","1","4",".309",".402",".616","1.018","17","12","0.064","0.84","0.089","-0.025","0.5","7","0",""
"Albert Pujols  DH","4","0","0","0","0","2","4",".256",".325",".538",".862","17","10","-0.106","0.94","0.000","-0.106","-1.3","","",""
"Erick Aybar  SS","4","0","1","0","0","1","4",".280",".317",".346",".663","12","9","-0.103","0.78","0.001","-0.104","-0.9","2","0",""
"David Freese  3B","4","0","0","0","0","3","4",".242",".308",".393",".701","12","10","-0.109","1.10","0.000","-0.109","-1.4","0","2",""
"C.J. Cron  1B","3","0","1","0","0","0","3",".257",".284",".407",".691","10","7","-0.025","0.60","0.011","-0.036","-0.2","6","0",""
"Matthew Joyce  LF","3","0","0","0","0","1","3",".192",".283",".321",".605","9","7","-0.043","0.55","0.000","-0.043","-0.5","2","0",""
"Carlos Perez  C","3","0","0","0","0","0","3",".226",".250",".313",".563","13","9","-0.038","0.50","0.000","-0.038","-0.5","4","3",""
"","","","","","","","","","","","","","","","","","","","","",""
"C.J. Wilson  P","","","","","","","","","","","","","","","","","","","1","1",""
"Mike Morin  P","","","","","","","","","","","","","","","","","","","0","0",""
"Jose Alvarez  P","","","","","","","","","","","","","","","","","","","0","0",""
"Vinnie Pestano  P","","","","","","","","","","","","","","","","","","","0","0",""
