"Batting","AB","R","H","RBI","BB","SO","PA","BA","OBP","SLG","OPS","Pit","Str","WPA","aLI","WPA+","WPA-","RE24","PO","A","V22"
"Byron Buxton  CF","4","2","2","1","1","2","5",".226",".262",".306",".568","17","11","0.084","0.70","0.127","-0.043","0.7","5","0","2B"
"Brian Dozier  2B","5","1","1","2","0","0","5",".244",".314",".480",".794","16","11","0.160","0.89","0.220","-0.060","0.6","1","2","HR"
"Joe Mauer  1B","3","2","0","0","2","1","5",".266",".333",".377",".710","21","10","0.045","0.78","0.069","-0.024","0.3","9","0",""
"Miguel Sano  DH","4","2","1","3","1","2","5",".287",".397",".592",".989","25","14","0.258","0.81","0.275","-0.017","2.5","","","HR"
"Trevor Plouffe  3B","5","1","1","0","0","2","5",".250",".305",".449",".755","18","12","-0.029","0.66","0.037","-0.065","-0.6","1","5",""
"Eddie Rosario  LF","5","1","2","1","0","1","5",".276",".298",".454",".752","18","14","-0.036","0.80","0.047","-0.082","0.3","1","0","HR,3B"
"Torii Hunter  RF","5","0","2","2","0","2","5",".237",".292",".410",".702","21","12","0.125","0.79","0.170","-0.045","1.2","3","0",""
"Kurt Suzuki  C","3","1","1","0","1","0","4",".239",".296",".313",".608","15","9","0.006","0.49","0.035","-0.028","-0.5","5","0","GDP"
"Eduardo Escobar  SS","4","1","2","2","0","1","4",".249",".291",".396",".687","16","11","0.210","0.91","0.239","-0.030","2.2","2","1","2B"
"","","","","","","","","","","","","","","","","","","","","",""
"Ervin Santana  P","","","","","","","","","","","","","","","","","","","0","1",""
"J.R. Graham  P","","","","","","","","","","","","","","","","","","","0","0",""
"Neal Cotts  P","","","","","","","","","","","","","","","","","","","0","0",""
"Casey Fien  P","","","","","","","","","","","","","","","","","","","0","0",""
"Trevor May  P","","","","","","","","","","","","","","","","","","","0","0",""
"Kevin Jepsen  P","","","","","","","","","","","","","","","","","","","0","1",""
